2022-07-16 10:07:50,434 - utils - INFO - epoch: 0, step: 0, eta: 01:32:54, gen loss: 53.52955627441406, adv_loss: 0, dis loss: 0
2022-07-16 10:08:58,378 - utils - INFO - epoch: 0, step: 50, eta: 00:58:03, gen loss: 15.837311744689941, adv_loss: 0, dis loss: 0
2022-07-16 10:09:48,254 - utils - INFO - epoch: 0, step: 0, eta: 01:44:20, gen loss: 53.52955627441406, adv_loss: 0, dis loss: 0
2022-07-16 10:20:23,646 - utils - INFO - epoch: 0, step: 0, eta: 01:27:34, gen loss: 54.235130310058594, adv_loss: 0, dis loss: 0
2022-07-16 10:22:11,619 - utils - INFO - epoch: 0, step: 100, eta: 00:44:37, gen loss: 13.539125442504883, adv_loss: 0, dis loss: 0
2022-07-16 10:23:57,066 - utils - INFO - epoch: 0, step: 200, eta: 00:41:53, gen loss: 10.804008483886719, adv_loss: 0, dis loss: 0
2022-07-16 10:25:36,782 - utils - INFO - epoch: 0, step: 300, eta: 00:39:06, gen loss: 7.116385459899902, adv_loss: 0, dis loss: 0
2022-07-16 10:27:25,973 - utils - INFO - epoch: 0, step: 400, eta: 00:37:43, gen loss: 5.670586109161377, adv_loss: 0, dis loss: 0
2022-07-16 10:29:14,765 - utils - INFO - epoch: 0, step: 500, eta: 00:36:07, gen loss: 6.421156883239746, adv_loss: 0, dis loss: 0
2022-07-16 10:31:05,435 - utils - INFO - epoch: 0, step: 600, eta: 00:34:34, gen loss: 5.0444865226745605, adv_loss: 0, dis loss: 0
2022-07-16 10:32:57,681 - utils - INFO - epoch: 0, step: 700, eta: 00:32:59, gen loss: 5.555842399597168, adv_loss: 0, dis loss: 0
2022-07-16 10:34:49,155 - utils - INFO - epoch: 0, step: 800, eta: 00:31:19, gen loss: 5.251082420349121, adv_loss: 0, dis loss: 0
2022-07-16 10:36:39,874 - utils - INFO - epoch: 0, step: 900, eta: 00:29:35, gen loss: 4.833368301391602, adv_loss: 0, dis loss: 0
2022-07-16 10:38:30,572 - utils - INFO - epoch: 0, step: 1000, eta: 00:27:49, gen loss: 5.061818599700928, adv_loss: 0, dis loss: 0
2022-07-16 10:40:20,080 - utils - INFO - epoch: 0, step: 1100, eta: 00:26:01, gen loss: 4.534337997436523, adv_loss: 0, dis loss: 0
2022-07-16 10:42:09,923 - utils - INFO - epoch: 0, step: 1200, eta: 00:24:13, gen loss: 4.374086856842041, adv_loss: 0, dis loss: 0
2022-07-16 10:44:01,189 - utils - INFO - epoch: 0, step: 1300, eta: 00:22:26, gen loss: 3.955626964569092, adv_loss: 0, dis loss: 0
2022-07-16 10:45:52,873 - utils - INFO - epoch: 0, step: 1400, eta: 00:20:39, gen loss: 3.8091182708740234, adv_loss: 0, dis loss: 0
2022-07-16 10:47:43,812 - utils - INFO - epoch: 0, step: 1500, eta: 00:18:50, gen loss: 4.361135005950928, adv_loss: 0, dis loss: 0
2022-07-16 10:49:35,553 - utils - INFO - epoch: 0, step: 1600, eta: 00:17:02, gen loss: 3.1989123821258545, adv_loss: 0, dis loss: 0
2022-07-16 10:51:23,745 - utils - INFO - epoch: 0, step: 1700, eta: 00:15:12, gen loss: 3.8316895961761475, adv_loss: 0, dis loss: 0
2022-07-16 10:53:13,800 - utils - INFO - epoch: 0, step: 1800, eta: 00:13:23, gen loss: 3.234495162963867, adv_loss: 0, dis loss: 0
