2022-07-23 02:09:32,863 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='transformer', decoder_depth=12, depth=6, device_ids='0', epochs=30, flag='mae', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=False, use_random_mask=True, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-23 02:09:47,396 - utils - INFO - epoch: 0, step: 0, eta: 03:20:46, gen loss: 55.891361236572266, adv_loss: 0, dis loss: 0
2022-07-23 02:10:40,172 - utils - INFO - epoch: 0, step: 100, eta: 00:23:19, gen loss: 13.298120498657227, adv_loss: 0, dis loss: 0
2022-07-23 02:11:33,022 - utils - INFO - epoch: 0, step: 200, eta: 00:21:27, gen loss: 9.641241073608398, adv_loss: 0, dis loss: 0
2022-07-23 02:11:50,153 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_depth=12, depth=6, device_ids='0', epochs=30, flag='mae', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=False, use_random_mask=True, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-23 02:13:16,478 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='transformer', decoder_depth=12, depth=6, device_ids='0', epochs=30, flag='mae', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=False, use_random_mask=True, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-23 02:13:31,080 - utils - INFO - epoch: 0, step: 0, eta: 03:40:38, gen loss: 18.629562377929688, adv_loss: 0, dis loss: 0
2022-07-23 02:14:24,304 - utils - INFO - epoch: 0, step: 100, eta: 00:23:42, gen loss: 6.273001194000244, adv_loss: 0, dis loss: 0
2022-07-23 02:15:17,331 - utils - INFO - epoch: 0, step: 200, eta: 00:21:40, gen loss: 4.330070972442627, adv_loss: 0, dis loss: 0
2022-07-23 02:16:10,668 - utils - INFO - epoch: 0, step: 300, eta: 00:20:26, gen loss: 3.038757562637329, adv_loss: 0, dis loss: 0
2022-07-23 02:17:04,189 - utils - INFO - epoch: 0, step: 400, eta: 00:19:24, gen loss: 2.703935146331787, adv_loss: 0, dis loss: 0
2022-07-23 02:17:57,784 - utils - INFO - epoch: 0, step: 500, eta: 00:18:25, gen loss: 2.5542807579040527, adv_loss: 0, dis loss: 0
2022-07-23 02:18:51,423 - utils - INFO - epoch: 0, step: 600, eta: 00:17:28, gen loss: 2.5415122509002686, adv_loss: 0, dis loss: 0
2022-07-23 02:19:45,094 - utils - INFO - epoch: 0, step: 700, eta: 00:16:33, gen loss: 2.1472842693328857, adv_loss: 0, dis loss: 0
2022-07-23 02:20:38,761 - utils - INFO - epoch: 0, step: 800, eta: 00:15:37, gen loss: 2.1857588291168213, adv_loss: 0, dis loss: 0
2022-07-23 02:21:32,404 - utils - INFO - epoch: 0, step: 900, eta: 00:14:42, gen loss: 2.0408010482788086, adv_loss: 0, dis loss: 0
2022-07-23 02:22:25,993 - utils - INFO - epoch: 0, step: 1000, eta: 00:13:48, gen loss: 1.8816466331481934, adv_loss: 0, dis loss: 0
2022-07-23 02:23:19,576 - utils - INFO - epoch: 0, step: 1100, eta: 00:12:53, gen loss: 1.743644118309021, adv_loss: 0, dis loss: 0
2022-07-23 02:24:13,192 - utils - INFO - epoch: 0, step: 1200, eta: 00:11:59, gen loss: 1.7580573558807373, adv_loss: 0, dis loss: 0
2022-07-23 02:25:06,803 - utils - INFO - epoch: 0, step: 1300, eta: 00:11:04, gen loss: 1.7409440279006958, adv_loss: 0, dis loss: 0
2022-07-23 02:26:00,455 - utils - INFO - epoch: 0, step: 1400, eta: 00:10:10, gen loss: 1.6523239612579346, adv_loss: 0, dis loss: 0
2022-07-23 02:26:53,960 - utils - INFO - epoch: 0, step: 1500, eta: 00:09:16, gen loss: 1.5631561279296875, adv_loss: 0, dis loss: 0
2022-07-23 02:27:47,532 - utils - INFO - epoch: 0, step: 1600, eta: 00:08:22, gen loss: 1.5450018644332886, adv_loss: 0, dis loss: 0
2022-07-23 02:28:41,023 - utils - INFO - epoch: 0, step: 1700, eta: 00:07:28, gen loss: 1.5240451097488403, adv_loss: 0, dis loss: 0
2022-07-23 02:29:34,591 - utils - INFO - epoch: 0, step: 1800, eta: 00:06:34, gen loss: 1.573313593864441, adv_loss: 0, dis loss: 0
2022-07-23 02:30:28,117 - utils - INFO - epoch: 0, step: 1900, eta: 00:05:40, gen loss: 1.4920170307159424, adv_loss: 0, dis loss: 0
2022-07-23 02:31:21,695 - utils - INFO - epoch: 0, step: 2000, eta: 00:04:46, gen loss: 1.28365159034729, adv_loss: 0, dis loss: 0
2022-07-23 02:32:15,257 - utils - INFO - epoch: 0, step: 2100, eta: 00:03:52, gen loss: 1.3939751386642456, adv_loss: 0, dis loss: 0
2022-07-23 02:33:08,799 - utils - INFO - epoch: 0, step: 2200, eta: 00:02:59, gen loss: 1.4138541221618652, adv_loss: 0, dis loss: 0
2022-07-23 02:34:02,415 - utils - INFO - epoch: 0, step: 2300, eta: 00:02:05, gen loss: 1.258920669555664, adv_loss: 0, dis loss: 0
2022-07-23 02:34:56,036 - utils - INFO - epoch: 0, step: 2400, eta: 00:01:11, gen loss: 1.3978252410888672, adv_loss: 0, dis loss: 0
2022-07-23 02:35:49,607 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:17, gen loss: 1.2565521001815796, adv_loss: 0, dis loss: 0
2022-07-23 02:55:01,437 - utils - INFO - epoch: 0, loss: 9.923572540283203, mae: 17.659864442184887, ssim: 0.8517445503245173, psnr: 20.432024612835058
2022-07-23 02:55:04,042 - utils - INFO - epoch: 1, step: 0, eta: 00:56:53, gen loss: 1.5558990240097046, adv_loss: 0, dis loss: 0
2022-07-23 02:55:56,926 - utils - INFO - epoch: 1, step: 100, eta: 00:21:59, gen loss: 1.3555376529693604, adv_loss: 0, dis loss: 0
2022-07-23 02:56:50,110 - utils - INFO - epoch: 1, step: 200, eta: 00:20:53, gen loss: 1.2897372245788574, adv_loss: 0, dis loss: 0
2022-07-23 02:57:43,553 - utils - INFO - epoch: 1, step: 300, eta: 00:19:57, gen loss: 1.309531569480896, adv_loss: 0, dis loss: 0
2022-07-23 02:58:37,146 - utils - INFO - epoch: 1, step: 400, eta: 00:19:03, gen loss: 1.1021337509155273, adv_loss: 0, dis loss: 0
2022-07-23 02:59:30,793 - utils - INFO - epoch: 1, step: 500, eta: 00:18:10, gen loss: 1.16517174243927, adv_loss: 0, dis loss: 0
2022-07-23 03:00:24,445 - utils - INFO - epoch: 1, step: 600, eta: 00:17:16, gen loss: 1.1721783876419067, adv_loss: 0, dis loss: 0
2022-07-23 03:01:18,102 - utils - INFO - epoch: 1, step: 700, eta: 00:16:23, gen loss: 1.1169544458389282, adv_loss: 0, dis loss: 0
2022-07-23 03:02:11,829 - utils - INFO - epoch: 1, step: 800, eta: 00:15:29, gen loss: 1.1950466632843018, adv_loss: 0, dis loss: 0
2022-07-23 03:03:05,593 - utils - INFO - epoch: 1, step: 900, eta: 00:14:36, gen loss: 1.2123370170593262, adv_loss: 0, dis loss: 0
2022-07-23 03:03:59,280 - utils - INFO - epoch: 1, step: 1000, eta: 00:13:42, gen loss: 1.218480110168457, adv_loss: 0, dis loss: 0
2022-07-23 03:04:52,965 - utils - INFO - epoch: 1, step: 1100, eta: 00:12:48, gen loss: 1.206663727760315, adv_loss: 0, dis loss: 0
2022-07-23 03:05:46,671 - utils - INFO - epoch: 1, step: 1200, eta: 00:11:55, gen loss: 1.1651033163070679, adv_loss: 0, dis loss: 0
2022-07-23 03:06:40,343 - utils - INFO - epoch: 1, step: 1300, eta: 00:11:01, gen loss: 1.1158322095870972, adv_loss: 0, dis loss: 0
2022-07-23 03:07:33,999 - utils - INFO - epoch: 1, step: 1400, eta: 00:10:08, gen loss: 1.0942984819412231, adv_loss: 0, dis loss: 0
2022-07-23 03:08:27,707 - utils - INFO - epoch: 1, step: 1500, eta: 00:09:14, gen loss: 1.213521957397461, adv_loss: 0, dis loss: 0
2022-07-23 03:09:21,368 - utils - INFO - epoch: 1, step: 1600, eta: 00:08:20, gen loss: 1.1136202812194824, adv_loss: 0, dis loss: 0
2022-07-23 03:10:15,088 - utils - INFO - epoch: 1, step: 1700, eta: 00:07:27, gen loss: 1.172554850578308, adv_loss: 0, dis loss: 0
2022-07-23 03:11:08,742 - utils - INFO - epoch: 1, step: 1800, eta: 00:06:33, gen loss: 1.0549207925796509, adv_loss: 0, dis loss: 0
2022-07-23 03:12:02,528 - utils - INFO - epoch: 1, step: 1900, eta: 00:05:39, gen loss: 1.0495414733886719, adv_loss: 0, dis loss: 0
2022-07-23 03:12:56,360 - utils - INFO - epoch: 1, step: 2000, eta: 00:04:46, gen loss: 1.0483814477920532, adv_loss: 0, dis loss: 0
2022-07-23 03:13:50,060 - utils - INFO - epoch: 1, step: 2100, eta: 00:03:52, gen loss: 1.0324848890304565, adv_loss: 0, dis loss: 0
2022-07-23 03:14:43,574 - utils - INFO - epoch: 1, step: 2200, eta: 00:02:58, gen loss: 1.1494176387786865, adv_loss: 0, dis loss: 0
2022-07-23 03:15:37,041 - utils - INFO - epoch: 1, step: 2300, eta: 00:02:05, gen loss: 0.97905033826828, adv_loss: 0, dis loss: 0
2022-07-23 03:16:30,504 - utils - INFO - epoch: 1, step: 2400, eta: 00:01:11, gen loss: 0.998647928237915, adv_loss: 0, dis loss: 0
2022-07-23 03:17:23,990 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:17, gen loss: 1.0787301063537598, adv_loss: 0, dis loss: 0
2022-07-23 03:36:19,895 - utils - INFO - epoch: 1, loss: 6.141251564025879, mae: 14.526839563236909, ssim: 0.8855490329192494, psnr: 22.250417206481035
2022-07-23 03:36:22,591 - utils - INFO - epoch: 2, step: 0, eta: 00:58:01, gen loss: 1.1140021085739136, adv_loss: 0, dis loss: 0
2022-07-23 03:37:15,618 - utils - INFO - epoch: 2, step: 100, eta: 00:22:03, gen loss: 0.960290789604187, adv_loss: 0, dis loss: 0
2022-07-23 03:38:08,822 - utils - INFO - epoch: 2, step: 200, eta: 00:20:55, gen loss: 0.9508091807365417, adv_loss: 0, dis loss: 0
2022-07-23 03:39:02,227 - utils - INFO - epoch: 2, step: 300, eta: 00:19:58, gen loss: 0.9688076376914978, adv_loss: 0, dis loss: 0
2022-07-23 03:39:55,764 - utils - INFO - epoch: 2, step: 400, eta: 00:19:04, gen loss: 1.0127005577087402, adv_loss: 0, dis loss: 0
2022-07-23 03:40:49,306 - utils - INFO - epoch: 2, step: 500, eta: 00:18:10, gen loss: 0.8781196475028992, adv_loss: 0, dis loss: 0
2022-07-23 03:41:42,925 - utils - INFO - epoch: 2, step: 600, eta: 00:17:16, gen loss: 0.9730576276779175, adv_loss: 0, dis loss: 0
2022-07-23 03:42:36,550 - utils - INFO - epoch: 2, step: 700, eta: 00:16:22, gen loss: 1.0293840169906616, adv_loss: 0, dis loss: 0
2022-07-23 03:43:30,268 - utils - INFO - epoch: 2, step: 800, eta: 00:15:29, gen loss: 1.0282264947891235, adv_loss: 0, dis loss: 0
2022-07-23 03:44:23,995 - utils - INFO - epoch: 2, step: 900, eta: 00:14:35, gen loss: 1.0476586818695068, adv_loss: 0, dis loss: 0
2022-07-23 03:45:17,823 - utils - INFO - epoch: 2, step: 1000, eta: 00:13:42, gen loss: 0.9263529181480408, adv_loss: 0, dis loss: 0
2022-07-23 03:46:11,569 - utils - INFO - epoch: 2, step: 1100, eta: 00:12:49, gen loss: 0.9069505333900452, adv_loss: 0, dis loss: 0
