2022-07-24 10:35:45,574 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='2', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-24 10:36:03,483 - utils - INFO - epoch: 0, step: 0, eta: 04:10:52, gen loss: 188.175048828125, adv_loss: 0, dis loss: 0
2022-07-24 10:37:56,899 - utils - INFO - epoch: 0, step: 100, eta: 00:48:23, gen loss: 37.042022705078125, adv_loss: 0, dis loss: 0
2022-07-24 10:39:50,968 - utils - INFO - epoch: 0, step: 200, eta: 00:45:22, gen loss: 29.051219940185547, adv_loss: 0, dis loss: 0
2022-07-24 10:41:45,210 - utils - INFO - epoch: 0, step: 300, eta: 00:43:07, gen loss: 25.87792205810547, adv_loss: 0, dis loss: 0
2022-07-24 10:43:39,525 - utils - INFO - epoch: 0, step: 400, eta: 00:41:03, gen loss: 20.603429794311523, adv_loss: 0, dis loss: 0
2022-07-24 10:45:33,840 - utils - INFO - epoch: 0, step: 500, eta: 00:39:03, gen loss: 20.801860809326172, adv_loss: 0, dis loss: 0
2022-07-24 10:47:28,132 - utils - INFO - epoch: 0, step: 600, eta: 00:37:04, gen loss: 16.685163497924805, adv_loss: 0, dis loss: 0
2022-07-24 10:49:22,497 - utils - INFO - epoch: 0, step: 700, eta: 00:35:07, gen loss: 17.245389938354492, adv_loss: 0, dis loss: 0
2022-07-24 10:51:16,970 - utils - INFO - epoch: 0, step: 800, eta: 00:33:11, gen loss: 14.891799926757812, adv_loss: 0, dis loss: 0
2022-07-24 10:53:11,480 - utils - INFO - epoch: 0, step: 900, eta: 00:31:16, gen loss: 13.088663101196289, adv_loss: 0, dis loss: 0
2022-07-24 10:55:05,988 - utils - INFO - epoch: 0, step: 1000, eta: 00:29:20, gen loss: 13.078486442565918, adv_loss: 0, dis loss: 0
2022-07-24 10:57:00,605 - utils - INFO - epoch: 0, step: 1100, eta: 00:27:25, gen loss: 12.422304153442383, adv_loss: 0, dis loss: 0
2022-07-24 10:58:55,390 - utils - INFO - epoch: 0, step: 1200, eta: 00:25:30, gen loss: 15.375713348388672, adv_loss: 0, dis loss: 0
2022-07-24 11:00:50,287 - utils - INFO - epoch: 0, step: 1300, eta: 00:23:35, gen loss: 11.410116195678711, adv_loss: 0, dis loss: 0
2022-07-24 11:02:45,022 - utils - INFO - epoch: 0, step: 1400, eta: 00:21:40, gen loss: 12.226247787475586, adv_loss: 0, dis loss: 0
2022-07-24 11:04:40,027 - utils - INFO - epoch: 0, step: 1500, eta: 00:19:46, gen loss: 11.409809112548828, adv_loss: 0, dis loss: 0
2022-07-24 11:06:34,971 - utils - INFO - epoch: 0, step: 1600, eta: 00:17:51, gen loss: 10.89039134979248, adv_loss: 0, dis loss: 0
2022-07-24 11:08:29,845 - utils - INFO - epoch: 0, step: 1700, eta: 00:15:56, gen loss: 11.15042495727539, adv_loss: 0, dis loss: 0
2022-07-24 11:10:24,777 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:01, gen loss: 10.494526863098145, adv_loss: 0, dis loss: 0
2022-07-24 11:12:19,753 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:07, gen loss: 10.364862442016602, adv_loss: 0, dis loss: 0
2022-07-24 11:14:14,773 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:12, gen loss: 9.30489444732666, adv_loss: 0, dis loss: 0
2022-07-24 11:16:09,691 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:17, gen loss: 10.655577659606934, adv_loss: 0, dis loss: 0
2022-07-24 11:18:04,594 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:22, gen loss: 10.155384063720703, adv_loss: 0, dis loss: 0
2022-07-24 11:19:59,280 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:27, gen loss: 9.008212089538574, adv_loss: 0, dis loss: 0
2022-07-24 11:21:53,980 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:32, gen loss: 8.937785148620605, adv_loss: 0, dis loss: 0
2022-07-24 11:23:48,734 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:37, gen loss: 8.269281387329102, adv_loss: 0, dis loss: 0
2022-07-24 11:46:06,921 - utils - INFO - epoch: 0, loss: 3.6583917140960693, mae: 12.739060563578306, ssim: 0.9115996776216984, psnr: 24.157687597992435
2022-07-24 11:46:10,442 - utils - INFO - epoch: 1, step: 0, eta: 01:12:18, gen loss: 8.96269416809082, adv_loss: 0, dis loss: 0
2022-07-24 11:48:04,575 - utils - INFO - epoch: 1, step: 100, eta: 00:46:58, gen loss: 8.689743041992188, adv_loss: 0, dis loss: 0
2022-07-24 11:49:59,225 - utils - INFO - epoch: 1, step: 200, eta: 00:44:48, gen loss: 8.086664199829102, adv_loss: 0, dis loss: 0
2022-07-24 11:51:54,026 - utils - INFO - epoch: 1, step: 300, eta: 00:42:50, gen loss: 8.274469375610352, adv_loss: 0, dis loss: 0
2022-07-24 11:53:48,900 - utils - INFO - epoch: 1, step: 400, eta: 00:40:53, gen loss: 7.956194877624512, adv_loss: 0, dis loss: 0
2022-07-24 11:55:43,800 - utils - INFO - epoch: 1, step: 500, eta: 00:38:58, gen loss: 7.229395866394043, adv_loss: 0, dis loss: 0
2022-07-24 11:57:38,553 - utils - INFO - epoch: 1, step: 600, eta: 00:37:02, gen loss: 7.261131763458252, adv_loss: 0, dis loss: 0
2022-07-24 11:59:33,343 - utils - INFO - epoch: 1, step: 700, eta: 00:35:06, gen loss: 7.848441123962402, adv_loss: 0, dis loss: 0
2022-07-24 12:01:28,139 - utils - INFO - epoch: 1, step: 800, eta: 00:33:11, gen loss: 7.534686088562012, adv_loss: 0, dis loss: 0
2022-07-24 12:03:22,946 - utils - INFO - epoch: 1, step: 900, eta: 00:31:16, gen loss: 7.512080192565918, adv_loss: 0, dis loss: 0
2022-07-24 12:05:17,788 - utils - INFO - epoch: 1, step: 1000, eta: 00:29:21, gen loss: 7.4788899421691895, adv_loss: 0, dis loss: 0
