2022-07-25 10:03:32,532 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='3', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=False, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 10:03:50,864 - utils - INFO - epoch: 0, step: 0, eta: 04:23:41, gen loss: 192.0771942138672, mae loss: 3.4482808113098145, adv_loss: 0, dis loss: 0
2022-07-25 10:05:45,187 - utils - INFO - epoch: 0, step: 100, eta: 00:48:53, gen loss: 38.98355484008789, mae loss: 1.232805609703064, adv_loss: 0, dis loss: 0
2022-07-25 10:07:40,172 - utils - INFO - epoch: 0, step: 200, eta: 00:45:47, gen loss: 30.616559982299805, mae loss: 0.9871730804443359, adv_loss: 0, dis loss: 0
2022-07-25 10:09:35,515 - utils - INFO - epoch: 0, step: 300, eta: 00:43:31, gen loss: 27.671857833862305, mae loss: 0.9925253391265869, adv_loss: 0, dis loss: 0
2022-07-25 10:11:31,021 - utils - INFO - epoch: 0, step: 400, eta: 00:41:27, gen loss: 23.061479568481445, mae loss: 0.8921230435371399, adv_loss: 0, dis loss: 0
2022-07-25 10:13:26,495 - utils - INFO - epoch: 0, step: 500, eta: 00:39:25, gen loss: 21.73809242248535, mae loss: 0.8846461176872253, adv_loss: 0, dis loss: 0
2022-07-25 10:15:22,137 - utils - INFO - epoch: 0, step: 600, eta: 00:37:27, gen loss: 16.556594848632812, mae loss: 0.765518307685852, adv_loss: 0, dis loss: 0
2022-07-25 10:17:17,690 - utils - INFO - epoch: 0, step: 700, eta: 00:35:29, gen loss: 16.849925994873047, mae loss: 0.831264317035675, adv_loss: 0, dis loss: 0
2022-07-25 10:19:13,296 - utils - INFO - epoch: 0, step: 800, eta: 00:33:31, gen loss: 17.562589645385742, mae loss: 0.9522056579589844, adv_loss: 0, dis loss: 0
2022-07-25 10:21:08,892 - utils - INFO - epoch: 0, step: 900, eta: 00:31:34, gen loss: 15.100517272949219, mae loss: 0.8023548126220703, adv_loss: 0, dis loss: 0
2022-07-25 10:23:04,501 - utils - INFO - epoch: 0, step: 1000, eta: 00:29:38, gen loss: 14.022333145141602, mae loss: 0.7415579557418823, adv_loss: 0, dis loss: 0
2022-07-25 10:25:00,269 - utils - INFO - epoch: 0, step: 1100, eta: 00:27:41, gen loss: 13.109128952026367, mae loss: 0.7758353352546692, adv_loss: 0, dis loss: 0
2022-07-25 10:26:56,146 - utils - INFO - epoch: 0, step: 1200, eta: 00:25:45, gen loss: 12.471830368041992, mae loss: 0.7270528674125671, adv_loss: 0, dis loss: 0
2022-07-25 10:28:51,978 - utils - INFO - epoch: 0, step: 1300, eta: 00:23:49, gen loss: 12.310931205749512, mae loss: 0.698668360710144, adv_loss: 0, dis loss: 0
2022-07-25 10:30:47,708 - utils - INFO - epoch: 0, step: 1400, eta: 00:21:53, gen loss: 11.82215404510498, mae loss: 0.7807921171188354, adv_loss: 0, dis loss: 0
2022-07-25 10:32:43,436 - utils - INFO - epoch: 0, step: 1500, eta: 00:19:57, gen loss: 11.893011093139648, mae loss: 0.6847512125968933, adv_loss: 0, dis loss: 0
2022-07-25 10:34:39,234 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:01, gen loss: 12.177003860473633, mae loss: 0.7951693534851074, adv_loss: 0, dis loss: 0
2022-07-25 10:36:35,039 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:05, gen loss: 11.369425773620605, mae loss: 0.7356154918670654, adv_loss: 0, dis loss: 0
2022-07-25 10:38:30,976 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:09, gen loss: 10.468225479125977, mae loss: 0.6782306432723999, adv_loss: 0, dis loss: 0
2022-07-25 10:40:26,751 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:13, gen loss: 10.063380241394043, mae loss: 0.7289764285087585, adv_loss: 0, dis loss: 0
2022-07-25 10:42:22,703 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:17, gen loss: 9.842204093933105, mae loss: 0.7651466131210327, adv_loss: 0, dis loss: 0
2022-07-25 10:44:18,578 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:21, gen loss: 9.286109924316406, mae loss: 0.6572418212890625, adv_loss: 0, dis loss: 0
2022-07-25 10:46:14,316 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:25, gen loss: 10.724266052246094, mae loss: 0.8712584972381592, adv_loss: 0, dis loss: 0
2022-07-25 10:48:10,143 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:30, gen loss: 10.067891120910645, mae loss: 0.8630949258804321, adv_loss: 0, dis loss: 0
2022-07-25 10:50:05,895 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:34, gen loss: 10.685687065124512, mae loss: 0.8636828660964966, adv_loss: 0, dis loss: 0
2022-07-25 10:52:01,695 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 8.997747421264648, mae loss: 0.684791088104248, adv_loss: 0, dis loss: 0
2022-07-25 11:14:06,387 - utils - INFO - epoch: 0, loss: 3.5781257152557373, mae: 12.485358854535242, ssim: 0.9110661241582116, psnr: 24.204202591293058
2022-07-25 11:14:10,042 - utils - INFO - epoch: 1, step: 0, eta: 01:13:16, gen loss: 8.757583618164062, mae loss: 0.740514874458313, adv_loss: 0, dis loss: 0
2022-07-25 11:16:05,037 - utils - INFO - epoch: 1, step: 100, eta: 00:47:20, gen loss: 9.15674877166748, mae loss: 0.7059602737426758, adv_loss: 0, dis loss: 0
2022-07-25 11:18:00,406 - utils - INFO - epoch: 1, step: 200, eta: 00:45:07, gen loss: 8.44708251953125, mae loss: 0.7546220421791077, adv_loss: 0, dis loss: 0
2022-07-25 11:19:56,212 - utils - INFO - epoch: 1, step: 300, eta: 00:43:09, gen loss: 9.082464218139648, mae loss: 0.7493707537651062, adv_loss: 0, dis loss: 0
2022-07-25 11:21:52,007 - utils - INFO - epoch: 1, step: 400, eta: 00:41:12, gen loss: 8.608939170837402, mae loss: 0.6476065516471863, adv_loss: 0, dis loss: 0
2022-07-25 11:23:48,188 - utils - INFO - epoch: 1, step: 500, eta: 00:39:17, gen loss: 8.351519584655762, mae loss: 0.7967650890350342, adv_loss: 0, dis loss: 0
2022-07-25 11:25:44,336 - utils - INFO - epoch: 1, step: 600, eta: 00:37:22, gen loss: 8.613527297973633, mae loss: 0.62559974193573, adv_loss: 0, dis loss: 0
2022-07-25 11:27:40,502 - utils - INFO - epoch: 1, step: 700, eta: 00:35:26, gen loss: 8.71697998046875, mae loss: 0.7659729719161987, adv_loss: 0, dis loss: 0
2022-07-25 11:29:36,694 - utils - INFO - epoch: 1, step: 800, eta: 00:33:31, gen loss: 7.669432163238525, mae loss: 0.6448179483413696, adv_loss: 0, dis loss: 0
2022-07-25 11:31:32,832 - utils - INFO - epoch: 1, step: 900, eta: 00:31:35, gen loss: 8.20229434967041, mae loss: 0.7845865488052368, adv_loss: 0, dis loss: 0
2022-07-25 11:33:29,004 - utils - INFO - epoch: 1, step: 1000, eta: 00:29:39, gen loss: 8.7509183883667, mae loss: 0.7044767737388611, adv_loss: 0, dis loss: 0
2022-07-25 11:35:25,209 - utils - INFO - epoch: 1, step: 1100, eta: 00:27:43, gen loss: 7.77356481552124, mae loss: 0.8251446485519409, adv_loss: 0, dis loss: 0
2022-07-25 11:37:21,343 - utils - INFO - epoch: 1, step: 1200, eta: 00:25:47, gen loss: 7.984213352203369, mae loss: 0.7374760508537292, adv_loss: 0, dis loss: 0
