2022-07-25 08:22:41,274 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 08:22:59,460 - utils - INFO - epoch: 0, step: 0, eta: 04:11:35, gen loss: 113.60420227050781, adv_loss: 0, dis loss: 0
2022-07-25 08:24:55,167 - utils - INFO - epoch: 0, step: 100, eta: 00:49:20, gen loss: 21.10958480834961, adv_loss: 0, dis loss: 0
2022-07-25 08:26:51,753 - utils - INFO - epoch: 0, step: 200, eta: 00:46:19, gen loss: 17.24089813232422, adv_loss: 0, dis loss: 0
2022-07-25 08:28:48,631 - utils - INFO - epoch: 0, step: 300, eta: 00:44:03, gen loss: 15.34426498413086, adv_loss: 0, dis loss: 0
2022-07-25 08:30:45,742 - utils - INFO - epoch: 0, step: 400, eta: 00:41:58, gen loss: 17.217296600341797, adv_loss: 0, dis loss: 0
2022-07-25 08:32:42,814 - utils - INFO - epoch: 0, step: 500, eta: 00:39:56, gen loss: 12.003185272216797, adv_loss: 0, dis loss: 0
2022-07-25 08:34:40,199 - utils - INFO - epoch: 0, step: 600, eta: 00:37:56, gen loss: 16.186573028564453, adv_loss: 0, dis loss: 0
2022-07-25 08:36:37,704 - utils - INFO - epoch: 0, step: 700, eta: 00:35:58, gen loss: 11.35453987121582, adv_loss: 0, dis loss: 0
2022-07-25 08:38:35,214 - utils - INFO - epoch: 0, step: 800, eta: 00:33:59, gen loss: 9.905328750610352, adv_loss: 0, dis loss: 0
2022-07-25 08:40:32,603 - utils - INFO - epoch: 0, step: 900, eta: 00:32:01, gen loss: 11.299837112426758, adv_loss: 0, dis loss: 0
2022-07-25 08:42:30,237 - utils - INFO - epoch: 0, step: 1000, eta: 00:30:03, gen loss: 9.053354263305664, adv_loss: 0, dis loss: 0
2022-07-25 08:44:27,954 - utils - INFO - epoch: 0, step: 1100, eta: 00:28:06, gen loss: 8.354682922363281, adv_loss: 0, dis loss: 0
2022-07-25 08:46:25,525 - utils - INFO - epoch: 0, step: 1200, eta: 00:26:08, gen loss: 9.028752326965332, adv_loss: 0, dis loss: 0
2022-07-25 08:48:23,017 - utils - INFO - epoch: 0, step: 1300, eta: 00:24:10, gen loss: 7.982867240905762, adv_loss: 0, dis loss: 0
2022-07-25 08:50:20,364 - utils - INFO - epoch: 0, step: 1400, eta: 00:22:12, gen loss: 8.496729850769043, adv_loss: 0, dis loss: 0
2022-07-25 08:52:17,870 - utils - INFO - epoch: 0, step: 1500, eta: 00:20:15, gen loss: 7.337520599365234, adv_loss: 0, dis loss: 0
2022-07-25 08:54:15,364 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:17, gen loss: 9.29990005493164, adv_loss: 0, dis loss: 0
2022-07-25 08:56:12,702 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:19, gen loss: 7.548886775970459, adv_loss: 0, dis loss: 0
2022-07-25 08:58:09,977 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:21, gen loss: 7.784903526306152, adv_loss: 0, dis loss: 0
2022-07-25 09:00:07,298 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:24, gen loss: 6.491548538208008, adv_loss: 0, dis loss: 0
2022-07-25 09:02:04,548 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:26, gen loss: 6.67534065246582, adv_loss: 0, dis loss: 0
2022-07-25 09:04:01,783 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:28, gen loss: 6.96534538269043, adv_loss: 0, dis loss: 0
2022-07-25 09:05:59,065 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:31, gen loss: 6.113834381103516, adv_loss: 0, dis loss: 0
2022-07-25 09:07:56,306 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:33, gen loss: 7.708009719848633, adv_loss: 0, dis loss: 0
2022-07-25 09:09:53,608 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:36, gen loss: 5.897734642028809, adv_loss: 0, dis loss: 0
2022-07-25 09:11:50,926 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.498242378234863, adv_loss: 0, dis loss: 0
2022-07-25 09:34:15,595 - utils - INFO - epoch: 0, loss: 2.7694435119628906, mae: 10.20056784324509, ssim: 0.9332089375288183, psnr: 25.421315252309974
2022-07-25 09:34:19,250 - utils - INFO - epoch: 1, step: 0, eta: 01:17:52, gen loss: 5.878479957580566, adv_loss: 0, dis loss: 0
2022-07-25 09:36:15,663 - utils - INFO - epoch: 1, step: 100, eta: 00:47:57, gen loss: 4.90201473236084, adv_loss: 0, dis loss: 0
2022-07-25 09:38:12,617 - utils - INFO - epoch: 1, step: 200, eta: 00:45:43, gen loss: 6.438612461090088, adv_loss: 0, dis loss: 0
2022-07-25 09:40:09,780 - utils - INFO - epoch: 1, step: 300, eta: 00:43:42, gen loss: 4.8539652824401855, adv_loss: 0, dis loss: 0
2022-07-25 09:42:07,160 - utils - INFO - epoch: 1, step: 400, eta: 00:41:44, gen loss: 5.280145168304443, adv_loss: 0, dis loss: 0
2022-07-25 09:44:04,976 - utils - INFO - epoch: 1, step: 500, eta: 00:39:49, gen loss: 5.952228546142578, adv_loss: 0, dis loss: 0
2022-07-25 09:46:03,120 - utils - INFO - epoch: 1, step: 600, eta: 00:37:53, gen loss: 5.118462562561035, adv_loss: 0, dis loss: 0
2022-07-25 09:48:01,125 - utils - INFO - epoch: 1, step: 700, eta: 00:35:56, gen loss: 5.052103042602539, adv_loss: 0, dis loss: 0
2022-07-25 09:49:59,063 - utils - INFO - epoch: 1, step: 800, eta: 00:33:59, gen loss: 4.849489688873291, adv_loss: 0, dis loss: 0
2022-07-25 09:51:57,877 - utils - INFO - epoch: 1, step: 900, eta: 00:32:04, gen loss: 4.799677848815918, adv_loss: 0, dis loss: 0
