2022-07-25 09:51:33,417 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 09:52:07,084 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='1', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 09:52:24,849 - utils - INFO - epoch: 0, step: 0, eta: 04:03:26, gen loss: 118.8062515258789, mae loss: 3.5516862869262695, adv_loss: 0, dis loss: 0
2022-07-25 09:54:19,918 - utils - INFO - epoch: 0, step: 100, eta: 00:48:59, gen loss: 25.6774845123291, mae loss: 1.2055647373199463, adv_loss: 0, dis loss: 0
2022-07-25 09:56:15,549 - utils - INFO - epoch: 0, step: 200, eta: 00:45:58, gen loss: 17.741130828857422, mae loss: 0.8616153001785278, adv_loss: 0, dis loss: 0
2022-07-25 09:58:11,583 - utils - INFO - epoch: 0, step: 300, eta: 00:43:43, gen loss: 18.688335418701172, mae loss: 0.9401953220367432, adv_loss: 0, dis loss: 0
2022-07-25 10:00:07,669 - utils - INFO - epoch: 0, step: 400, eta: 00:41:38, gen loss: 16.148080825805664, mae loss: 0.7813841104507446, adv_loss: 0, dis loss: 0
2022-07-25 10:02:03,755 - utils - INFO - epoch: 0, step: 500, eta: 00:39:37, gen loss: 16.51578712463379, mae loss: 0.9158143401145935, adv_loss: 0, dis loss: 0
2022-07-25 10:03:59,780 - utils - INFO - epoch: 0, step: 600, eta: 00:37:37, gen loss: 13.803994178771973, mae loss: 0.815796971321106, adv_loss: 0, dis loss: 0
2022-07-25 10:05:55,833 - utils - INFO - epoch: 0, step: 700, eta: 00:35:38, gen loss: 11.922539710998535, mae loss: 0.7244715094566345, adv_loss: 0, dis loss: 0
2022-07-25 10:07:51,540 - utils - INFO - epoch: 0, step: 800, eta: 00:33:39, gen loss: 12.085161209106445, mae loss: 0.7879506349563599, adv_loss: 0, dis loss: 0
2022-07-25 10:09:47,417 - utils - INFO - epoch: 0, step: 900, eta: 00:31:42, gen loss: 10.03610610961914, mae loss: 0.6875626444816589, adv_loss: 0, dis loss: 0
2022-07-25 10:11:43,378 - utils - INFO - epoch: 0, step: 1000, eta: 00:29:44, gen loss: 10.5106840133667, mae loss: 0.7474342584609985, adv_loss: 0, dis loss: 0
2022-07-25 10:13:39,299 - utils - INFO - epoch: 0, step: 1100, eta: 00:27:47, gen loss: 10.423413276672363, mae loss: 0.7566267251968384, adv_loss: 0, dis loss: 0
2022-07-25 10:15:35,189 - utils - INFO - epoch: 0, step: 1200, eta: 00:25:50, gen loss: 10.742864608764648, mae loss: 0.7910100817680359, adv_loss: 0, dis loss: 0
2022-07-25 10:17:31,033 - utils - INFO - epoch: 0, step: 1300, eta: 00:23:54, gen loss: 8.789843559265137, mae loss: 0.7217003703117371, adv_loss: 0, dis loss: 0
2022-07-25 10:19:26,931 - utils - INFO - epoch: 0, step: 1400, eta: 00:21:57, gen loss: 9.119115829467773, mae loss: 0.7228355407714844, adv_loss: 0, dis loss: 0
2022-07-25 10:21:22,729 - utils - INFO - epoch: 0, step: 1500, eta: 00:20:00, gen loss: 9.711804389953613, mae loss: 0.6823092699050903, adv_loss: 0, dis loss: 0
2022-07-25 10:23:18,585 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:04, gen loss: 9.088565826416016, mae loss: 0.6966137886047363, adv_loss: 0, dis loss: 0
2022-07-25 10:25:14,464 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:07, gen loss: 8.145248413085938, mae loss: 0.8020106554031372, adv_loss: 0, dis loss: 0
2022-07-25 10:27:10,022 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:11, gen loss: 7.502927780151367, mae loss: 0.6934937238693237, adv_loss: 0, dis loss: 0
2022-07-25 10:29:05,189 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:14, gen loss: 7.512182235717773, mae loss: 0.7484530806541443, adv_loss: 0, dis loss: 0
2022-07-25 10:31:00,273 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:18, gen loss: 7.698156833648682, mae loss: 0.7547410726547241, adv_loss: 0, dis loss: 0
