2022-07-25 12:09:55,020 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='4', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 12:10:12,937 - utils - INFO - epoch: 0, step: 0, eta: 03:58:04, gen loss: 139.63417053222656, mae loss: 24.379613876342773, adv_loss: 0, dis loss: 0
2022-07-25 12:12:10,469 - utils - INFO - epoch: 0, step: 100, eta: 00:49:56, gen loss: 31.610145568847656, mae loss: 6.644658088684082, adv_loss: 0, dis loss: 0
2022-07-25 12:14:07,631 - utils - INFO - epoch: 0, step: 200, eta: 00:46:43, gen loss: 21.9715633392334, mae loss: 4.926179885864258, adv_loss: 0, dis loss: 0
2022-07-25 12:16:05,205 - utils - INFO - epoch: 0, step: 300, eta: 00:44:24, gen loss: 23.611459732055664, mae loss: 5.5585503578186035, adv_loss: 0, dis loss: 0
2022-07-25 12:18:02,655 - utils - INFO - epoch: 0, step: 400, eta: 00:42:14, gen loss: 19.819950103759766, mae loss: 4.458611488342285, adv_loss: 0, dis loss: 0
2022-07-25 12:20:30,277 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='4', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=6.0, mae_valid_weight=1.0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 12:20:49,008 - utils - INFO - epoch: 0, step: 0, eta: 04:04:33, gen loss: 141.02081298828125, mae loss: 25.76624298095703, adv_loss: 0, dis loss: 0
2022-07-25 12:22:46,240 - utils - INFO - epoch: 0, step: 100, eta: 00:49:53, gen loss: 27.503938674926758, mae loss: 2.6404242515563965, adv_loss: 0, dis loss: 0
2022-07-25 12:24:43,347 - utils - INFO - epoch: 0, step: 200, eta: 00:46:41, gen loss: 18.160232543945312, mae loss: 1.1238195896148682, adv_loss: 0, dis loss: 0
2022-07-25 12:26:40,578 - utils - INFO - epoch: 0, step: 300, eta: 00:44:19, gen loss: 19.51462173461914, mae loss: 1.7947940826416016, adv_loss: 0, dis loss: 0
2022-07-25 12:28:37,669 - utils - INFO - epoch: 0, step: 400, eta: 00:42:10, gen loss: 16.22358512878418, mae loss: 0.7229228615760803, adv_loss: 0, dis loss: 0
2022-07-25 12:30:34,866 - utils - INFO - epoch: 0, step: 500, eta: 00:40:05, gen loss: 17.70218849182129, mae loss: 1.4558806419372559, adv_loss: 0, dis loss: 0
2022-07-25 12:32:31,988 - utils - INFO - epoch: 0, step: 600, eta: 00:38:03, gen loss: 14.111062049865723, mae loss: 0.8091479539871216, adv_loss: 0, dis loss: 0
2022-07-25 12:34:29,165 - utils - INFO - epoch: 0, step: 700, eta: 00:36:02, gen loss: 12.43490219116211, mae loss: 0.8720871806144714, adv_loss: 0, dis loss: 0
2022-07-25 12:36:26,071 - utils - INFO - epoch: 0, step: 800, eta: 00:34:02, gen loss: 11.904065132141113, mae loss: 0.46645647287368774, adv_loss: 0, dis loss: 0
2022-07-25 12:38:23,079 - utils - INFO - epoch: 0, step: 900, eta: 00:32:03, gen loss: 10.11697769165039, mae loss: 0.48232221603393555, adv_loss: 0, dis loss: 0
2022-07-25 12:40:20,289 - utils - INFO - epoch: 0, step: 1000, eta: 00:30:04, gen loss: 10.695589065551758, mae loss: 0.8165088295936584, adv_loss: 0, dis loss: 0
2022-07-25 12:42:17,455 - utils - INFO - epoch: 0, step: 1100, eta: 00:28:06, gen loss: 9.838427543640137, mae loss: 0.3900490403175354, adv_loss: 0, dis loss: 0
2022-07-25 12:44:14,597 - utils - INFO - epoch: 0, step: 1200, eta: 00:26:07, gen loss: 11.569192886352539, mae loss: 1.2852089405059814, adv_loss: 0, dis loss: 0
2022-07-25 12:46:11,880 - utils - INFO - epoch: 0, step: 1300, eta: 00:24:09, gen loss: 8.959823608398438, mae loss: 0.5678312182426453, adv_loss: 0, dis loss: 0
2022-07-25 12:48:09,189 - utils - INFO - epoch: 0, step: 1400, eta: 00:22:12, gen loss: 9.372308731079102, mae loss: 0.8819918632507324, adv_loss: 0, dis loss: 0
2022-07-25 12:50:06,377 - utils - INFO - epoch: 0, step: 1500, eta: 00:20:14, gen loss: 9.568096160888672, mae loss: 0.698214054107666, adv_loss: 0, dis loss: 0
2022-07-25 12:52:03,722 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:16, gen loss: 8.731226921081543, mae loss: 0.2562780976295471, adv_loss: 0, dis loss: 0
2022-07-25 12:54:00,987 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:18, gen loss: 8.026896476745605, mae loss: 0.5503873825073242, adv_loss: 0, dis loss: 0
2022-07-25 12:55:58,386 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:21, gen loss: 7.582343578338623, mae loss: 0.6177211999893188, adv_loss: 0, dis loss: 0
2022-07-25 12:57:55,673 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:23, gen loss: 7.723997592926025, mae loss: 0.9249128699302673, adv_loss: 0, dis loss: 0
2022-07-25 12:59:52,986 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:26, gen loss: 7.860207557678223, mae loss: 0.9294480085372925, adv_loss: 0, dis loss: 0
2022-07-25 13:01:50,215 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:28, gen loss: 7.6159467697143555, mae loss: 1.0835392475128174, adv_loss: 0, dis loss: 0
2022-07-25 13:03:47,716 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:31, gen loss: 7.322612762451172, mae loss: 0.27728861570358276, adv_loss: 0, dis loss: 0
2022-07-25 13:05:45,022 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:33, gen loss: 6.872173309326172, mae loss: 0.6112968325614929, adv_loss: 0, dis loss: 0
2022-07-25 13:07:42,217 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:36, gen loss: 8.0404634475708, mae loss: 1.0025215148925781, adv_loss: 0, dis loss: 0
2022-07-25 13:09:39,616 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.75883150100708, mae loss: 0.3676866292953491, adv_loss: 0, dis loss: 0
2022-07-25 13:33:02,303 - utils - INFO - epoch: 0, loss: 2.8655614852905273, mae: 10.176997171174973, ssim: 0.936356689416274, psnr: 25.41803576507327
