2022-07-27 08:48:31,962 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=3.0, mae_valid_weight=0.0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 08:48:50,967 - utils - INFO - epoch: 0, step: 0, eta: 04:33:16, gen loss: 123.84162902832031, mae loss: 8.587064743041992, adv_loss: 0, dis loss: 0
2022-07-27 08:50:47,288 - utils - INFO - epoch: 0, step: 100, eta: 00:49:47, gen loss: 26.271331787109375, mae loss: 1.065220832824707, adv_loss: 0, dis loss: 0
2022-07-27 08:52:44,129 - utils - INFO - epoch: 0, step: 200, eta: 00:46:35, gen loss: 17.560148239135742, mae loss: 0.465695858001709, adv_loss: 0, dis loss: 0
2022-07-27 08:54:41,151 - utils - INFO - epoch: 0, step: 300, eta: 00:44:14, gen loss: 18.828872680664062, mae loss: 0.6563714742660522, adv_loss: 0, dis loss: 0
2022-07-27 08:56:38,190 - utils - INFO - epoch: 0, step: 400, eta: 00:42:05, gen loss: 15.860690116882324, mae loss: 0.33943819999694824, adv_loss: 0, dis loss: 0
2022-07-27 08:58:35,243 - utils - INFO - epoch: 0, step: 500, eta: 00:40:01, gen loss: 16.53295135498047, mae loss: 0.559144139289856, adv_loss: 0, dis loss: 0
2022-07-27 09:00:32,286 - utils - INFO - epoch: 0, step: 600, eta: 00:38:00, gen loss: 13.422412872314453, mae loss: 0.3276097774505615, adv_loss: 0, dis loss: 0
2022-07-27 09:02:29,647 - utils - INFO - epoch: 0, step: 700, eta: 00:36:00, gen loss: 11.694984436035156, mae loss: 0.3483586013317108, adv_loss: 0, dis loss: 0
2022-07-27 09:04:27,027 - utils - INFO - epoch: 0, step: 800, eta: 00:34:01, gen loss: 11.515913963317871, mae loss: 0.20778769254684448, adv_loss: 0, dis loss: 0
2022-07-27 09:06:24,145 - utils - INFO - epoch: 0, step: 900, eta: 00:32:02, gen loss: 9.865156173706055, mae loss: 0.2223002016544342, adv_loss: 0, dis loss: 0
2022-07-27 09:08:21,347 - utils - INFO - epoch: 0, step: 1000, eta: 00:30:04, gen loss: 10.05756664276123, mae loss: 0.3012196719646454, adv_loss: 0, dis loss: 0
2022-07-27 09:10:18,486 - utils - INFO - epoch: 0, step: 1100, eta: 00:28:05, gen loss: 10.066600799560547, mae loss: 0.18399634957313538, adv_loss: 0, dis loss: 0
2022-07-27 09:12:15,981 - utils - INFO - epoch: 0, step: 1200, eta: 00:26:07, gen loss: 10.69538402557373, mae loss: 0.44386062026023865, adv_loss: 0, dis loss: 0
2022-07-27 09:14:13,245 - utils - INFO - epoch: 0, step: 1300, eta: 00:24:09, gen loss: 8.433710098266602, mae loss: 0.21875689923763275, adv_loss: 0, dis loss: 0
2022-07-27 09:16:10,418 - utils - INFO - epoch: 0, step: 1400, eta: 00:22:12, gen loss: 8.888345718383789, mae loss: 0.2945418357849121, adv_loss: 0, dis loss: 0
2022-07-27 09:18:07,776 - utils - INFO - epoch: 0, step: 1500, eta: 00:20:14, gen loss: 9.341064453125, mae loss: 0.2532845139503479, adv_loss: 0, dis loss: 0
2022-07-27 09:20:05,318 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:16, gen loss: 8.559830665588379, mae loss: 0.12276432663202286, adv_loss: 0, dis loss: 0
2022-07-27 09:22:02,935 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:19, gen loss: 7.626301288604736, mae loss: 0.19556677341461182, adv_loss: 0, dis loss: 0
2022-07-27 09:24:00,488 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:21, gen loss: 7.24296760559082, mae loss: 0.24062928557395935, adv_loss: 0, dis loss: 0
2022-07-27 09:25:57,861 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:24, gen loss: 7.176301002502441, mae loss: 0.3148159384727478, adv_loss: 0, dis loss: 0
2022-07-27 09:27:55,459 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:26, gen loss: 7.407266139984131, mae loss: 0.33268648386001587, adv_loss: 0, dis loss: 0
2022-07-27 09:29:52,739 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:28, gen loss: 6.914841651916504, mae loss: 0.37867212295532227, adv_loss: 0, dis loss: 0
2022-07-27 09:31:50,272 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:31, gen loss: 7.396134376525879, mae loss: 0.12240126729011536, adv_loss: 0, dis loss: 0
2022-07-27 09:33:47,847 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:33, gen loss: 6.252364635467529, mae loss: 0.2176743596792221, adv_loss: 0, dis loss: 0
2022-07-27 09:35:45,155 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:36, gen loss: 7.2604570388793945, mae loss: 0.3547508120536804, adv_loss: 0, dis loss: 0
2022-07-27 09:37:42,578 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.524648189544678, mae loss: 0.14667277038097382, adv_loss: 0, dis loss: 0
2022-07-27 09:59:11,772 - utils - INFO - epoch: 0, loss: 2.952641487121582, mae: 10.007327259379666, ssim: 0.9359665294070195, psnr: 25.489433786619617
2022-07-27 09:59:15,536 - utils - INFO - epoch: 1, step: 0, eta: 01:10:58, gen loss: 6.385558605194092, mae loss: 0.24519619345664978, adv_loss: 0, dis loss: 0
2022-07-27 10:01:12,490 - utils - INFO - epoch: 1, step: 100, eta: 00:48:06, gen loss: 5.488651752471924, mae loss: 0.09922074526548386, adv_loss: 0, dis loss: 0
2022-07-27 10:03:09,884 - utils - INFO - epoch: 1, step: 200, eta: 00:45:53, gen loss: 6.698572158813477, mae loss: 0.16280494630336761, adv_loss: 0, dis loss: 0
2022-07-27 10:05:07,469 - utils - INFO - epoch: 1, step: 300, eta: 00:43:52, gen loss: 5.834544658660889, mae loss: 0.17676880955696106, adv_loss: 0, dis loss: 0
2022-07-27 10:07:04,958 - utils - INFO - epoch: 1, step: 400, eta: 00:41:52, gen loss: 6.243200302124023, mae loss: 0.3445911705493927, adv_loss: 0, dis loss: 0
2022-07-27 10:09:02,735 - utils - INFO - epoch: 1, step: 500, eta: 00:39:54, gen loss: 5.0736494064331055, mae loss: 0.1699501872062683, adv_loss: 0, dis loss: 0
2022-07-27 10:11:00,459 - utils - INFO - epoch: 1, step: 600, eta: 00:37:56, gen loss: 4.840293884277344, mae loss: 0.15350404381752014, adv_loss: 0, dis loss: 0
2022-07-27 10:12:58,018 - utils - INFO - epoch: 1, step: 700, eta: 00:35:58, gen loss: 5.750083923339844, mae loss: 0.32971397042274475, adv_loss: 0, dis loss: 0
2022-07-27 10:14:55,732 - utils - INFO - epoch: 1, step: 800, eta: 00:34:00, gen loss: 5.908168792724609, mae loss: 0.3357788324356079, adv_loss: 0, dis loss: 0
2022-07-27 10:16:53,374 - utils - INFO - epoch: 1, step: 900, eta: 00:32:02, gen loss: 5.903812408447266, mae loss: 0.34726694226264954, adv_loss: 0, dis loss: 0
2022-07-27 10:18:51,077 - utils - INFO - epoch: 1, step: 1000, eta: 00:30:04, gen loss: 5.166867256164551, mae loss: 0.1820477694272995, adv_loss: 0, dis loss: 0
2022-07-27 10:20:48,846 - utils - INFO - epoch: 1, step: 1100, eta: 00:28:07, gen loss: 4.828850746154785, mae loss: 0.10164642333984375, adv_loss: 0, dis loss: 0
2022-07-27 10:22:46,731 - utils - INFO - epoch: 1, step: 1200, eta: 00:26:09, gen loss: 5.122241973876953, mae loss: 0.12531840801239014, adv_loss: 0, dis loss: 0
2022-07-27 10:24:44,261 - utils - INFO - epoch: 1, step: 1300, eta: 00:24:11, gen loss: 5.144815921783447, mae loss: 0.09142649173736572, adv_loss: 0, dis loss: 0
2022-07-27 10:26:41,710 - utils - INFO - epoch: 1, step: 1400, eta: 00:22:13, gen loss: 4.631046295166016, mae loss: 0.17167168855667114, adv_loss: 0, dis loss: 0
2022-07-27 10:28:39,112 - utils - INFO - epoch: 1, step: 1500, eta: 00:20:15, gen loss: 4.542492866516113, mae loss: 0.09363958239555359, adv_loss: 0, dis loss: 0
2022-07-27 10:30:36,551 - utils - INFO - epoch: 1, step: 1600, eta: 00:18:17, gen loss: 5.193711280822754, mae loss: 0.2935866117477417, adv_loss: 0, dis loss: 0
2022-07-27 10:32:34,794 - utils - INFO - epoch: 1, step: 1700, eta: 00:16:20, gen loss: 5.857525825500488, mae loss: 0.4192921221256256, adv_loss: 0, dis loss: 0
2022-07-27 10:34:32,490 - utils - INFO - epoch: 1, step: 1800, eta: 00:14:22, gen loss: 3.929107189178467, mae loss: 0.09957458078861237, adv_loss: 0, dis loss: 0
2022-07-27 10:36:30,099 - utils - INFO - epoch: 1, step: 1900, eta: 00:12:25, gen loss: 4.296903610229492, mae loss: 0.15407299995422363, adv_loss: 0, dis loss: 0
2022-07-27 10:38:27,483 - utils - INFO - epoch: 1, step: 2000, eta: 00:10:27, gen loss: 4.551478385925293, mae loss: 0.25610119104385376, adv_loss: 0, dis loss: 0
2022-07-27 10:40:24,994 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:29, gen loss: 4.110806941986084, mae loss: 0.21065667271614075, adv_loss: 0, dis loss: 0
2022-07-27 10:42:22,611 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:31, gen loss: 4.047430992126465, mae loss: 0.0676574856042862, adv_loss: 0, dis loss: 0
2022-07-27 10:44:20,358 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:34, gen loss: 3.7887625694274902, mae loss: 0.13452109694480896, adv_loss: 0, dis loss: 0
2022-07-27 10:46:18,252 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:36, gen loss: 4.497915267944336, mae loss: 0.18262998759746552, adv_loss: 0, dis loss: 0
2022-07-27 10:48:15,935 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:38, gen loss: 4.691356658935547, mae loss: 0.1132500171661377, adv_loss: 0, dis loss: 0
2022-07-27 11:10:02,682 - utils - INFO - epoch: 1, loss: 2.145911693572998, mae: 8.206438143427787, ssim: 0.9523223939850493, psnr: 26.922025153074248
2022-07-27 11:10:06,034 - utils - INFO - epoch: 2, step: 0, eta: 01:11:19, gen loss: 4.438438892364502, mae loss: 0.23608151078224182, adv_loss: 0, dis loss: 0
2022-07-27 11:12:02,639 - utils - INFO - epoch: 2, step: 100, eta: 00:47:58, gen loss: 5.833927631378174, mae loss: 0.6135139465332031, adv_loss: 0, dis loss: 0
2022-07-27 11:13:59,959 - utils - INFO - epoch: 2, step: 200, eta: 00:45:48, gen loss: 3.81643009185791, mae loss: 0.14324577152729034, adv_loss: 0, dis loss: 0
2022-07-27 11:15:57,723 - utils - INFO - epoch: 2, step: 300, eta: 00:43:50, gen loss: 3.9222805500030518, mae loss: 0.1337980329990387, adv_loss: 0, dis loss: 0
2022-07-27 11:17:55,262 - utils - INFO - epoch: 2, step: 400, eta: 00:41:51, gen loss: 4.264344215393066, mae loss: 0.2926628589630127, adv_loss: 0, dis loss: 0
2022-07-27 11:19:52,971 - utils - INFO - epoch: 2, step: 500, eta: 00:39:53, gen loss: 4.500189781188965, mae loss: 0.3564230799674988, adv_loss: 0, dis loss: 0
2022-07-27 11:21:50,734 - utils - INFO - epoch: 2, step: 600, eta: 00:37:55, gen loss: 4.4774274826049805, mae loss: 0.09098635613918304, adv_loss: 0, dis loss: 0
2022-07-27 11:23:48,279 - utils - INFO - epoch: 2, step: 700, eta: 00:35:57, gen loss: 4.405490875244141, mae loss: 0.42692112922668457, adv_loss: 0, dis loss: 0
2022-07-27 11:25:45,879 - utils - INFO - epoch: 2, step: 800, eta: 00:33:59, gen loss: 5.350127696990967, mae loss: 0.4943033456802368, adv_loss: 0, dis loss: 0
2022-07-27 11:27:43,644 - utils - INFO - epoch: 2, step: 900, eta: 00:32:02, gen loss: 3.2555909156799316, mae loss: 0.06478659808635712, adv_loss: 0, dis loss: 0
2022-07-27 11:29:41,288 - utils - INFO - epoch: 2, step: 1000, eta: 00:30:04, gen loss: 4.048730373382568, mae loss: 0.1228327602148056, adv_loss: 0, dis loss: 0
2022-07-27 11:31:38,769 - utils - INFO - epoch: 2, step: 1100, eta: 00:28:06, gen loss: 4.444616317749023, mae loss: 0.40638622641563416, adv_loss: 0, dis loss: 0
2022-07-27 11:33:36,400 - utils - INFO - epoch: 2, step: 1200, eta: 00:26:08, gen loss: 3.6401612758636475, mae loss: 0.2594672739505768, adv_loss: 0, dis loss: 0
2022-07-27 11:35:33,822 - utils - INFO - epoch: 2, step: 1300, eta: 00:24:10, gen loss: 3.596921920776367, mae loss: 0.12984603643417358, adv_loss: 0, dis loss: 0
2022-07-27 11:37:31,229 - utils - INFO - epoch: 2, step: 1400, eta: 00:22:12, gen loss: 3.6904184818267822, mae loss: 0.1728009730577469, adv_loss: 0, dis loss: 0
2022-07-27 11:39:28,728 - utils - INFO - epoch: 2, step: 1500, eta: 00:20:15, gen loss: 5.135505676269531, mae loss: 0.49781811237335205, adv_loss: 0, dis loss: 0
2022-07-27 11:41:26,124 - utils - INFO - epoch: 2, step: 1600, eta: 00:18:17, gen loss: 3.3434035778045654, mae loss: 0.13422030210494995, adv_loss: 0, dis loss: 0
2022-07-27 11:43:23,715 - utils - INFO - epoch: 2, step: 1700, eta: 00:16:19, gen loss: 4.021596908569336, mae loss: 0.26761484146118164, adv_loss: 0, dis loss: 0
2022-07-27 11:45:21,326 - utils - INFO - epoch: 2, step: 1800, eta: 00:14:22, gen loss: 3.4442098140716553, mae loss: 0.09094825387001038, adv_loss: 0, dis loss: 0
2022-07-27 11:47:18,573 - utils - INFO - epoch: 2, step: 1900, eta: 00:12:24, gen loss: 3.6619186401367188, mae loss: 0.23662135004997253, adv_loss: 0, dis loss: 0
2022-07-27 11:49:16,041 - utils - INFO - epoch: 2, step: 2000, eta: 00:10:26, gen loss: 4.373497486114502, mae loss: 0.3493761122226715, adv_loss: 0, dis loss: 0
