2022-07-30 08:39:25,149 - utils - INFO - Namespace(batchsize=128, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='first', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 08:39:49,869 - utils - INFO - epoch: 0, step: 0, eta: 03:39:41, gen loss: 115.31779479980469, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:41:01,854 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='first', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 08:41:24,361 - utils - INFO - epoch: 0, step: 0, eta: 05:17:03, gen loss: 113.60538482666016, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:43:28,594 - utils - INFO - epoch: 0, step: 100, eta: 00:53:25, gen loss: 21.108840942382812, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:45:32,715 - utils - INFO - epoch: 0, step: 200, eta: 00:49:44, gen loss: 17.227542877197266, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:47:36,113 - utils - INFO - epoch: 0, step: 300, eta: 00:47:02, gen loss: 15.320388793945312, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:49:39,645 - utils - INFO - epoch: 0, step: 400, eta: 00:44:41, gen loss: 17.27822494506836, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:51:43,356 - utils - INFO - epoch: 0, step: 500, eta: 00:42:27, gen loss: 11.996282577514648, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:53:46,951 - utils - INFO - epoch: 0, step: 600, eta: 00:40:16, gen loss: 16.10825538635254, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:55:50,559 - utils - INFO - epoch: 0, step: 700, eta: 00:38:07, gen loss: 11.324949264526367, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:57:54,303 - utils - INFO - epoch: 0, step: 800, eta: 00:36:00, gen loss: 9.888253211975098, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:59:58,122 - utils - INFO - epoch: 0, step: 900, eta: 00:33:54, gen loss: 11.273208618164062, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:02:02,157 - utils - INFO - epoch: 0, step: 1000, eta: 00:31:49, gen loss: 9.018070220947266, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:04:05,896 - utils - INFO - epoch: 0, step: 1100, eta: 00:29:43, gen loss: 8.374177932739258, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:06:09,740 - utils - INFO - epoch: 0, step: 1200, eta: 00:27:38, gen loss: 9.031414031982422, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:08:13,535 - utils - INFO - epoch: 0, step: 1300, eta: 00:25:33, gen loss: 7.963473320007324, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:10:17,208 - utils - INFO - epoch: 0, step: 1400, eta: 00:23:28, gen loss: 8.444395065307617, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:12:20,943 - utils - INFO - epoch: 0, step: 1500, eta: 00:21:23, gen loss: 7.333664894104004, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:14:24,541 - utils - INFO - epoch: 0, step: 1600, eta: 00:19:19, gen loss: 9.420886039733887, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:16:28,267 - utils - INFO - epoch: 0, step: 1700, eta: 00:17:14, gen loss: 7.5065717697143555, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:18:31,978 - utils - INFO - epoch: 0, step: 1800, eta: 00:15:10, gen loss: 7.783655166625977, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:20:35,668 - utils - INFO - epoch: 0, step: 1900, eta: 00:13:05, gen loss: 6.507840156555176, mae loss: 0, adv_loss: 0, dis loss: 0
