2022-07-30 08:39:44,639 - utils - INFO - Namespace(batchsize=128, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='mid', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 08:40:26,323 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='mid', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 08:40:48,087 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='1', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolmid', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='mid', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 08:41:09,715 - utils - INFO - epoch: 0, step: 0, eta: 04:48:09, gen loss: 113.60537719726562, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:43:01,174 - utils - INFO - epoch: 0, step: 100, eta: 00:47:57, gen loss: 21.10684585571289, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:44:51,786 - utils - INFO - epoch: 0, step: 200, eta: 00:44:30, gen loss: 17.225637435913086, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:46:42,675 - utils - INFO - epoch: 0, step: 300, eta: 00:42:09, gen loss: 15.321060180664062, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:48:33,670 - utils - INFO - epoch: 0, step: 400, eta: 00:40:03, gen loss: 17.271175384521484, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:50:24,745 - utils - INFO - epoch: 0, step: 500, eta: 00:38:04, gen loss: 11.99429988861084, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:52:15,808 - utils - INFO - epoch: 0, step: 600, eta: 00:36:07, gen loss: 16.114032745361328, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:54:06,889 - utils - INFO - epoch: 0, step: 700, eta: 00:34:12, gen loss: 11.329198837280273, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:55:57,909 - utils - INFO - epoch: 0, step: 800, eta: 00:32:18, gen loss: 9.893709182739258, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:57:48,989 - utils - INFO - epoch: 0, step: 900, eta: 00:30:25, gen loss: 11.273844718933105, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 08:59:40,148 - utils - INFO - epoch: 0, step: 1000, eta: 00:28:32, gen loss: 9.016548156738281, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:01:31,456 - utils - INFO - epoch: 0, step: 1100, eta: 00:26:40, gen loss: 8.362101554870605, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:03:22,674 - utils - INFO - epoch: 0, step: 1200, eta: 00:24:48, gen loss: 9.024521827697754, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:05:13,970 - utils - INFO - epoch: 0, step: 1300, eta: 00:22:56, gen loss: 7.975744724273682, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:07:05,149 - utils - INFO - epoch: 0, step: 1400, eta: 00:21:04, gen loss: 8.431779861450195, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:08:56,193 - utils - INFO - epoch: 0, step: 1500, eta: 00:19:12, gen loss: 7.331080913543701, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:10:47,321 - utils - INFO - epoch: 0, step: 1600, eta: 00:17:20, gen loss: 9.415002822875977, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:12:38,475 - utils - INFO - epoch: 0, step: 1700, eta: 00:15:28, gen loss: 7.5087151527404785, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:14:29,582 - utils - INFO - epoch: 0, step: 1800, eta: 00:13:37, gen loss: 7.79429292678833, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:16:20,691 - utils - INFO - epoch: 0, step: 1900, eta: 00:11:45, gen loss: 6.509427547454834, mae loss: 0, adv_loss: 0, dis loss: 0
