2022-07-27 09:13:46,878 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=256, depth=6, device_ids='1', embed_dim=256, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', num_workers=4, output_dir='./output/logs', patch_size=8, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 09:20:31,388 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=256, decoder_num_heads=12, depth=6, device_ids='1', embed_dim=256, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', num_heads=4, num_workers=4, output_dir='./output/logs', patch_size=8, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 09:20:50,024 - utils - INFO - epoch: 0, step: 0, eta: 04:42:35, gen loss: 111.30545043945312, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:22:35,601 - utils - INFO - epoch: 0, step: 100, eta: 00:45:31, gen loss: 36.055362701416016, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:23:27,340 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=256, decoder_num_heads=12, depth=6, device_ids='1', embed_dim=256, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', num_heads=4, num_workers=4, output_dir='./output/logs', patch_size=8, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 09:23:44,624 - utils - INFO - epoch: 0, step: 0, eta: 04:21:49, gen loss: 111.30545043945312, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:25:30,118 - utils - INFO - epoch: 0, step: 100, eta: 00:45:17, gen loss: 36.055362701416016, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:27:14,984 - utils - INFO - epoch: 0, step: 200, eta: 00:42:06, gen loss: 24.957319259643555, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:28:59,850 - utils - INFO - epoch: 0, step: 300, eta: 00:39:52, gen loss: 21.340635299682617, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:30:44,762 - utils - INFO - epoch: 0, step: 400, eta: 00:37:53, gen loss: 19.707782745361328, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:32:29,698 - utils - INFO - epoch: 0, step: 500, eta: 00:36:00, gen loss: 17.164024353027344, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:34:14,502 - utils - INFO - epoch: 0, step: 600, eta: 00:34:09, gen loss: 20.07006072998047, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:35:59,310 - utils - INFO - epoch: 0, step: 700, eta: 00:32:20, gen loss: 15.058863639831543, mae loss: 0, adv_loss: 0, dis loss: 0
