2022-07-24 06:08:36,662 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=192, depth=6, device_ids='1', embed_dim=192, epochs=30, flag='mae_multiscale_external_fpn1d_pyramid_avg', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_pyramid_avg', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='avg', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-24 06:08:59,726 - utils - INFO - epoch: 0, step: 0, eta: 04:33:05, gen loss: 134.58909606933594, adv_loss: 0, dis loss: 0
2022-07-24 06:10:15,951 - utils - INFO - epoch: 0, step: 100, eta: 00:33:31, gen loss: 42.44713592529297, adv_loss: 0, dis loss: 0
2022-07-24 06:11:31,522 - utils - INFO - epoch: 0, step: 200, eta: 00:30:46, gen loss: 34.74949645996094, adv_loss: 0, dis loss: 0
2022-07-24 06:12:47,046 - utils - INFO - epoch: 0, step: 300, eta: 00:29:00, gen loss: 31.80059051513672, adv_loss: 0, dis loss: 0
2022-07-24 06:14:02,637 - utils - INFO - epoch: 0, step: 400, eta: 00:27:29, gen loss: 28.706157684326172, adv_loss: 0, dis loss: 0
2022-07-24 06:15:18,375 - utils - INFO - epoch: 0, step: 500, eta: 00:26:05, gen loss: 26.69290542602539, adv_loss: 0, dis loss: 0
2022-07-24 06:16:34,030 - utils - INFO - epoch: 0, step: 600, eta: 00:24:44, gen loss: 24.25922393798828, adv_loss: 0, dis loss: 0
2022-07-24 06:17:49,637 - utils - INFO - epoch: 0, step: 700, eta: 00:23:24, gen loss: 23.090538024902344, adv_loss: 0, dis loss: 0
2022-07-24 06:19:05,035 - utils - INFO - epoch: 0, step: 800, eta: 00:22:05, gen loss: 22.579090118408203, adv_loss: 0, dis loss: 0
2022-07-24 06:20:20,441 - utils - INFO - epoch: 0, step: 900, eta: 00:20:46, gen loss: 19.54788589477539, adv_loss: 0, dis loss: 0
2022-07-24 06:21:35,810 - utils - INFO - epoch: 0, step: 1000, eta: 00:19:28, gen loss: 20.549732208251953, adv_loss: 0, dis loss: 0
2022-07-24 06:22:51,202 - utils - INFO - epoch: 0, step: 1100, eta: 00:18:11, gen loss: 20.332361221313477, adv_loss: 0, dis loss: 0
2022-07-24 06:24:06,610 - utils - INFO - epoch: 0, step: 1200, eta: 00:16:54, gen loss: 19.371442794799805, adv_loss: 0, dis loss: 0
2022-07-24 06:25:22,126 - utils - INFO - epoch: 0, step: 1300, eta: 00:15:37, gen loss: 18.915496826171875, adv_loss: 0, dis loss: 0
2022-07-24 06:26:37,657 - utils - INFO - epoch: 0, step: 1400, eta: 00:14:21, gen loss: 19.151851654052734, adv_loss: 0, dis loss: 0
2022-07-24 06:27:53,245 - utils - INFO - epoch: 0, step: 1500, eta: 00:13:05, gen loss: 18.668481826782227, adv_loss: 0, dis loss: 0
2022-07-24 06:29:08,767 - utils - INFO - epoch: 0, step: 1600, eta: 00:11:48, gen loss: 19.187326431274414, adv_loss: 0, dis loss: 0
2022-07-24 06:30:24,424 - utils - INFO - epoch: 0, step: 1700, eta: 00:10:32, gen loss: 17.145397186279297, adv_loss: 0, dis loss: 0
2022-07-24 06:31:39,983 - utils - INFO - epoch: 0, step: 1800, eta: 00:09:16, gen loss: 17.76198387145996, adv_loss: 0, dis loss: 0
2022-07-24 06:32:55,535 - utils - INFO - epoch: 0, step: 1900, eta: 00:08:00, gen loss: 16.736173629760742, adv_loss: 0, dis loss: 0
2022-07-24 06:34:10,948 - utils - INFO - epoch: 0, step: 2000, eta: 00:06:44, gen loss: 15.308378219604492, adv_loss: 0, dis loss: 0
