2022-07-23 07:15:58,044 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='5', epochs=30, flag='mae_multiscale_external_fpn_v2', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn_v2', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_pconv=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-23 07:16:14,827 - utils - INFO - epoch: 0, step: 0, eta: 03:39:31, gen loss: 270.5447082519531, adv_loss: 0, dis loss: 0
2022-07-23 07:17:37,264 - utils - INFO - epoch: 0, step: 100, eta: 00:35:32, gen loss: 40.757301330566406, adv_loss: 0, dis loss: 0
2022-07-23 07:18:59,990 - utils - INFO - epoch: 0, step: 200, eta: 00:33:07, gen loss: 31.300155639648438, adv_loss: 0, dis loss: 0
2022-07-23 07:20:22,818 - utils - INFO - epoch: 0, step: 300, eta: 00:31:24, gen loss: 28.519960403442383, adv_loss: 0, dis loss: 0
2022-07-23 07:21:45,741 - utils - INFO - epoch: 0, step: 400, eta: 00:29:52, gen loss: 26.01498031616211, adv_loss: 0, dis loss: 0
2022-07-23 07:23:08,865 - utils - INFO - epoch: 0, step: 500, eta: 00:28:24, gen loss: 22.862850189208984, adv_loss: 0, dis loss: 0
2022-07-23 07:24:32,197 - utils - INFO - epoch: 0, step: 600, eta: 00:26:59, gen loss: 22.316207885742188, adv_loss: 0, dis loss: 0
2022-07-23 07:25:55,583 - utils - INFO - epoch: 0, step: 700, eta: 00:25:34, gen loss: 20.69308090209961, adv_loss: 0, dis loss: 0
2022-07-23 07:27:18,914 - utils - INFO - epoch: 0, step: 800, eta: 00:24:09, gen loss: 18.69458770751953, adv_loss: 0, dis loss: 0
2022-07-23 07:28:42,177 - utils - INFO - epoch: 0, step: 900, eta: 00:22:45, gen loss: 22.398298263549805, adv_loss: 0, dis loss: 0
2022-07-23 07:30:05,676 - utils - INFO - epoch: 0, step: 1000, eta: 00:21:21, gen loss: 17.576885223388672, adv_loss: 0, dis loss: 0
