2022-07-15 10:43:10,357 - utils - INFO - epoch: 0, step: 0, eta: 01:25:27, gen loss: nan, adv_loss: 0, dis loss: 0
2022-07-15 10:44:10,701 - utils - INFO - epoch: 0, step: 0, eta: 01:26:00, gen loss: 53.03823471069336, adv_loss: 0, dis loss: 0
2022-07-15 10:46:43,780 - utils - INFO - epoch: 0, step: 50, eta: 01:03:45, gen loss: 21.71505355834961, adv_loss: 0, dis loss: 0
2022-07-15 10:49:17,474 - utils - INFO - epoch: 0, step: 100, eta: 01:00:27, gen loss: 16.446556091308594, adv_loss: 0, dis loss: 0
2022-07-15 10:51:50,448 - utils - INFO - epoch: 0, step: 150, eta: 00:57:33, gen loss: 14.725285530090332, adv_loss: 0, dis loss: 0
2022-07-15 10:54:23,896 - utils - INFO - epoch: 0, step: 200, eta: 00:54:53, gen loss: 13.513198852539062, adv_loss: 0, dis loss: 0
2022-07-15 10:56:57,894 - utils - INFO - epoch: 0, step: 250, eta: 00:52:17, gen loss: 15.145252227783203, adv_loss: 0, dis loss: 0
2022-07-15 10:59:31,251 - utils - INFO - epoch: 0, step: 300, eta: 00:49:40, gen loss: 11.649949073791504, adv_loss: 0, dis loss: 0
2022-07-15 11:00:31,900 - utils - INFO - epoch: 0, step: 0, eta: 01:24:26, gen loss: 53.54044723510742, adv_loss: 0, dis loss: 0
2022-07-15 11:02:55,786 - utils - INFO - epoch: 0, step: 50, eta: 00:59:59, gen loss: 21.396669387817383, adv_loss: 0, dis loss: 0
2022-07-15 11:05:18,986 - utils - INFO - epoch: 0, step: 100, eta: 00:56:36, gen loss: 16.515628814697266, adv_loss: 0, dis loss: 0
2022-07-15 11:07:43,333 - utils - INFO - epoch: 0, step: 150, eta: 00:54:02, gen loss: 15.424629211425781, adv_loss: 0, dis loss: 0
2022-07-15 11:10:08,196 - utils - INFO - epoch: 0, step: 200, eta: 00:51:35, gen loss: 12.911231994628906, adv_loss: 0, dis loss: 0
