2022-07-16 10:25:17,284 - utils - INFO - epoch: 0, step: 0, eta: 01:27:49, gen loss: 53.00642776489258, adv_loss: 0, dis loss: 0
2022-07-16 10:30:20,370 - utils - INFO - epoch: 0, step: 100, eta: 00:59:45, gen loss: 14.908223152160645, adv_loss: 0, dis loss: 0
2022-07-16 10:35:28,575 - utils - INFO - epoch: 0, step: 200, eta: 00:54:43, gen loss: 11.923084259033203, adv_loss: 0, dis loss: 0
2022-07-16 10:40:37,443 - utils - INFO - epoch: 0, step: 300, eta: 00:49:39, gen loss: 14.500208854675293, adv_loss: 0, dis loss: 0
2022-07-16 10:45:47,114 - utils - INFO - epoch: 0, step: 400, eta: 00:44:34, gen loss: 9.586892127990723, adv_loss: 0, dis loss: 0
2022-07-16 10:50:52,863 - utils - INFO - epoch: 0, step: 500, eta: 00:39:21, gen loss: 8.837165832519531, adv_loss: 0, dis loss: 0
2022-07-16 10:55:59,983 - utils - INFO - epoch: 0, step: 600, eta: 00:34:13, gen loss: 8.264095306396484, adv_loss: 0, dis loss: 0
2022-07-16 11:01:07,792 - utils - INFO - epoch: 0, step: 700, eta: 00:29:05, gen loss: 8.348630905151367, adv_loss: 0, dis loss: 0
2022-07-16 11:06:13,698 - utils - INFO - epoch: 0, step: 800, eta: 00:23:56, gen loss: 6.66335391998291, adv_loss: 0, dis loss: 0
2022-07-16 11:10:55,538 - utils - INFO - epoch: 0, step: 900, eta: 00:18:38, gen loss: 6.262804985046387, adv_loss: 0, dis loss: 0
2022-07-16 11:15:32,124 - utils - INFO - epoch: 0, step: 1000, eta: 00:13:26, gen loss: 6.007038116455078, adv_loss: 0, dis loss: 0
2022-07-16 11:20:17,388 - utils - INFO - epoch: 0, step: 1100, eta: 00:08:21, gen loss: 6.021622657775879, adv_loss: 0, dis loss: 0
2022-07-16 11:25:07,690 - utils - INFO - epoch: 0, step: 1200, eta: 00:03:20, gen loss: 5.737836837768555, adv_loss: 0, dis loss: 0
2022-07-16 11:48:45,588 - utils - INFO - epoch: 0, loss: 5.051151275634766, mae: 23.1295584342391, ssim: 0.8675343566115035, psnr: 22.314391756673608
2022-07-16 11:48:50,409 - utils - INFO - epoch: 1, step: 0, eta: 01:03:58, gen loss: 5.8377685546875, adv_loss: 0, dis loss: 0
2022-07-16 11:53:53,051 - utils - INFO - epoch: 1, step: 100, eta: 00:59:27, gen loss: 5.382718086242676, adv_loss: 0, dis loss: 0
2022-07-16 11:58:57,876 - utils - INFO - epoch: 1, step: 200, eta: 00:54:16, gen loss: 6.170475959777832, adv_loss: 0, dis loss: 0
2022-07-16 12:04:03,669 - utils - INFO - epoch: 1, step: 300, eta: 00:49:13, gen loss: 5.5030317306518555, adv_loss: 0, dis loss: 0
2022-07-16 12:09:09,842 - utils - INFO - epoch: 1, step: 400, eta: 00:44:09, gen loss: 5.223650932312012, adv_loss: 0, dis loss: 0
2022-07-16 12:14:15,237 - utils - INFO - epoch: 1, step: 500, eta: 00:39:03, gen loss: 5.7228169441223145, adv_loss: 0, dis loss: 0
2022-07-16 12:18:58,913 - utils - INFO - epoch: 1, step: 600, eta: 00:33:33, gen loss: 5.508428573608398, adv_loss: 0, dis loss: 0
2022-07-16 12:23:36,646 - utils - INFO - epoch: 1, step: 700, eta: 00:28:12, gen loss: 4.905351638793945, adv_loss: 0, dis loss: 0
2022-07-16 12:28:15,899 - utils - INFO - epoch: 1, step: 800, eta: 00:23:02, gen loss: 4.811763763427734, adv_loss: 0, dis loss: 0
2022-07-16 12:32:55,174 - utils - INFO - epoch: 1, step: 900, eta: 00:17:59, gen loss: 4.839906692504883, adv_loss: 0, dis loss: 0
2022-07-16 12:37:50,805 - utils - INFO - epoch: 1, step: 1000, eta: 00:13:05, gen loss: 6.32404899597168, adv_loss: 0, dis loss: 0
2022-07-16 12:42:57,054 - utils - INFO - epoch: 1, step: 1100, eta: 00:08:13, gen loss: 4.55879020690918, adv_loss: 0, dis loss: 0
2022-07-16 12:48:07,513 - utils - INFO - epoch: 1, step: 1200, eta: 00:03:18, gen loss: 4.675790786743164, adv_loss: 0, dis loss: 0
2022-07-16 13:11:47,450 - utils - INFO - epoch: 1, loss: 3.9324944019317627, mae: 20.762641196473098, ssim: 0.8988744530829026, psnr: 23.638876031565307
2022-07-16 13:11:52,516 - utils - INFO - epoch: 2, step: 0, eta: 01:08:33, gen loss: 4.2234787940979, adv_loss: 0, dis loss: 0
2022-07-16 13:17:19,691 - utils - INFO - epoch: 2, step: 100, eta: 01:04:16, gen loss: 4.851777076721191, adv_loss: 0, dis loss: 0
2022-07-16 13:22:33,606 - utils - INFO - epoch: 2, step: 200, eta: 00:57:17, gen loss: 4.211953639984131, adv_loss: 0, dis loss: 0
2022-07-16 13:27:26,959 - utils - INFO - epoch: 2, step: 300, eta: 00:50:22, gen loss: 5.256025314331055, adv_loss: 0, dis loss: 0
2022-07-16 13:32:19,863 - utils - INFO - epoch: 2, step: 400, eta: 00:44:27, gen loss: 4.671109199523926, adv_loss: 0, dis loss: 0
2022-07-16 13:37:11,513 - utils - INFO - epoch: 2, step: 500, eta: 00:38:55, gen loss: 4.650646209716797, adv_loss: 0, dis loss: 0
2022-07-16 13:41:54,967 - utils - INFO - epoch: 2, step: 600, eta: 00:33:27, gen loss: 4.370545387268066, adv_loss: 0, dis loss: 0
2022-07-16 13:47:02,116 - utils - INFO - epoch: 2, step: 700, eta: 00:28:31, gen loss: 4.995031833648682, adv_loss: 0, dis loss: 0
2022-07-16 13:52:07,936 - utils - INFO - epoch: 2, step: 800, eta: 00:23:31, gen loss: 4.593316078186035, adv_loss: 0, dis loss: 0
2022-07-16 13:57:15,706 - utils - INFO - epoch: 2, step: 900, eta: 00:18:31, gen loss: 4.167230129241943, adv_loss: 0, dis loss: 0
2022-07-16 14:02:21,700 - utils - INFO - epoch: 2, step: 1000, eta: 00:13:29, gen loss: 4.119709491729736, adv_loss: 0, dis loss: 0
2022-07-16 14:07:27,804 - utils - INFO - epoch: 2, step: 1100, eta: 00:08:26, gen loss: 4.637210845947266, adv_loss: 0, dis loss: 0
2022-07-16 14:12:32,557 - utils - INFO - epoch: 2, step: 1200, eta: 00:03:23, gen loss: 4.796443939208984, adv_loss: 0, dis loss: 0
2022-07-16 14:36:10,699 - utils - INFO - epoch: 2, loss: 3.44205379486084, mae: 19.422071065361614, ssim: 0.913201006003032, psnr: 24.33281733079725
2022-07-16 14:36:15,599 - utils - INFO - epoch: 3, step: 0, eta: 01:03:37, gen loss: 5.428380966186523, adv_loss: 0, dis loss: 0
2022-07-16 14:41:05,400 - utils - INFO - epoch: 3, step: 100, eta: 00:56:57, gen loss: 4.243452548980713, adv_loss: 0, dis loss: 0
2022-07-16 14:45:56,838 - utils - INFO - epoch: 3, step: 200, eta: 00:51:56, gen loss: 4.028510093688965, adv_loss: 0, dis loss: 0
2022-07-16 14:51:10,213 - utils - INFO - epoch: 3, step: 300, eta: 00:48:13, gen loss: 4.310130596160889, adv_loss: 0, dis loss: 0
2022-07-16 14:56:32,368 - utils - INFO - epoch: 3, step: 400, eta: 00:44:03, gen loss: 4.657551288604736, adv_loss: 0, dis loss: 0
2022-07-16 15:01:52,928 - utils - INFO - epoch: 3, step: 500, eta: 00:39:22, gen loss: 3.983849048614502, adv_loss: 0, dis loss: 0
2022-07-16 15:07:38,706 - utils - INFO - epoch: 3, step: 600, eta: 00:34:56, gen loss: 4.0566325187683105, adv_loss: 0, dis loss: 0
2022-07-16 15:11:33,374 - utils - INFO - Namespace(batchsize=64, checkpoint='', device_ids='2', epochs=30, flag='mae_pconv', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae_pconv', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-16 15:11:48,794 - utils - INFO - epoch: 0, step: 0, eta: 03:42:50, gen loss: 53.86279296875, adv_loss: 0, dis loss: 0
