2022-07-17 04:33:32,444 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_depth=8, depth=12, device_ids='2', epochs=30, flag='mae_pconv', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae_pconv', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-17 04:33:47,582 - utils - INFO - epoch: 0, step: 0, eta: 03:40:52, gen loss: 53.91114807128906, adv_loss: 0, dis loss: 0
2022-07-17 04:35:21,370 - utils - INFO - epoch: 0, step: 100, eta: 00:40:09, gen loss: 15.21756649017334, adv_loss: 0, dis loss: 0
2022-07-17 04:36:55,286 - utils - INFO - epoch: 0, step: 200, eta: 00:37:30, gen loss: 14.430583000183105, adv_loss: 0, dis loss: 0
2022-07-17 04:38:29,314 - utils - INFO - epoch: 0, step: 300, eta: 00:35:35, gen loss: 14.014265060424805, adv_loss: 0, dis loss: 0
2022-07-17 04:40:03,487 - utils - INFO - epoch: 0, step: 400, eta: 00:33:52, gen loss: 12.36709213256836, adv_loss: 0, dis loss: 0
2022-07-17 04:41:37,694 - utils - INFO - epoch: 0, step: 500, eta: 00:32:12, gen loss: 13.515722274780273, adv_loss: 0, dis loss: 0
2022-07-17 04:43:11,938 - utils - INFO - epoch: 0, step: 600, eta: 00:30:35, gen loss: 10.41152286529541, adv_loss: 0, dis loss: 0
2022-07-17 04:44:46,237 - utils - INFO - epoch: 0, step: 700, eta: 00:28:58, gen loss: 11.175061225891113, adv_loss: 0, dis loss: 0
2022-07-17 04:46:20,478 - utils - INFO - epoch: 0, step: 800, eta: 00:27:22, gen loss: 10.952266693115234, adv_loss: 0, dis loss: 0
2022-07-17 04:47:54,768 - utils - INFO - epoch: 0, step: 900, eta: 00:25:46, gen loss: 10.744651794433594, adv_loss: 0, dis loss: 0
2022-07-17 04:49:29,058 - utils - INFO - epoch: 0, step: 1000, eta: 00:24:11, gen loss: 9.063984870910645, adv_loss: 0, dis loss: 0
2022-07-17 04:51:03,329 - utils - INFO - epoch: 0, step: 1100, eta: 00:22:36, gen loss: 10.662123680114746, adv_loss: 0, dis loss: 0
2022-07-17 04:52:37,631 - utils - INFO - epoch: 0, step: 1200, eta: 00:21:01, gen loss: 9.680376052856445, adv_loss: 0, dis loss: 0
2022-07-17 04:54:12,017 - utils - INFO - epoch: 0, step: 1300, eta: 00:19:26, gen loss: 10.617396354675293, adv_loss: 0, dis loss: 0
2022-07-17 04:55:46,523 - utils - INFO - epoch: 0, step: 1400, eta: 00:17:51, gen loss: 8.333659172058105, adv_loss: 0, dis loss: 0
2022-07-17 04:57:21,103 - utils - INFO - epoch: 0, step: 1500, eta: 00:16:17, gen loss: 8.690574645996094, adv_loss: 0, dis loss: 0
2022-07-17 04:58:55,728 - utils - INFO - epoch: 0, step: 1600, eta: 00:14:42, gen loss: 6.894004821777344, adv_loss: 0, dis loss: 0
2022-07-17 05:00:30,240 - utils - INFO - epoch: 0, step: 1700, eta: 00:13:07, gen loss: 8.868887901306152, adv_loss: 0, dis loss: 0
2022-07-17 05:02:04,761 - utils - INFO - epoch: 0, step: 1800, eta: 00:11:33, gen loss: 8.20936393737793, adv_loss: 0, dis loss: 0
2022-07-17 05:03:39,415 - utils - INFO - epoch: 0, step: 1900, eta: 00:09:58, gen loss: 9.123970985412598, adv_loss: 0, dis loss: 0
2022-07-17 05:05:13,971 - utils - INFO - epoch: 0, step: 2000, eta: 00:08:24, gen loss: 9.649845123291016, adv_loss: 0, dis loss: 0
2022-07-17 05:06:48,548 - utils - INFO - epoch: 0, step: 2100, eta: 00:06:49, gen loss: 7.099043369293213, adv_loss: 0, dis loss: 0
2022-07-17 05:08:23,138 - utils - INFO - epoch: 0, step: 2200, eta: 00:05:14, gen loss: 8.29958724975586, adv_loss: 0, dis loss: 0
2022-07-17 05:09:57,742 - utils - INFO - epoch: 0, step: 2300, eta: 00:03:40, gen loss: 7.580989360809326, adv_loss: 0, dis loss: 0
2022-07-17 05:11:32,401 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:05, gen loss: 7.586196422576904, adv_loss: 0, dis loss: 0
2022-07-17 05:13:06,998 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:31, gen loss: 6.660277843475342, adv_loss: 0, dis loss: 0
2022-07-17 05:33:01,506 - utils - INFO - epoch: 0, loss: 8.07951545715332, mae: 20.259249139639188, ssim: 0.7910448230837371, psnr: 20.11954846012548
2022-07-17 05:33:04,877 - utils - INFO - epoch: 1, step: 0, eta: 01:10:54, gen loss: 6.930806636810303, adv_loss: 0, dis loss: 0
2022-07-17 05:34:38,484 - utils - INFO - epoch: 1, step: 100, eta: 00:38:38, gen loss: 7.860910892486572, adv_loss: 0, dis loss: 0
