2022-07-12 02:07:17,018 - utils - INFO - epoch: 0, step: 0, eta: 00:58:28, gen loss: 2.5849270820617676, adv_loss: 0, dis loss: 0
2022-07-12 02:08:27,718 - utils - INFO - epoch: 0, step: 50, eta: 00:29:48, gen loss: 1.2502468824386597, adv_loss: 0, dis loss: 0
2022-07-12 02:09:38,817 - utils - INFO - epoch: 0, step: 100, eta: 00:28:07, gen loss: 1.0955373048782349, adv_loss: 0, dis loss: 0
2022-07-12 02:10:50,090 - utils - INFO - epoch: 0, step: 150, eta: 00:26:47, gen loss: 0.8568288087844849, adv_loss: 0, dis loss: 0
2022-07-12 02:12:01,579 - utils - INFO - epoch: 0, step: 200, eta: 00:25:32, gen loss: 0.6502537131309509, adv_loss: 0, dis loss: 0
2022-07-12 02:13:14,176 - utils - INFO - epoch: 0, step: 250, eta: 00:24:24, gen loss: 0.547798216342926, adv_loss: 0, dis loss: 0
2022-07-12 02:14:26,067 - utils - INFO - epoch: 0, step: 300, eta: 00:23:11, gen loss: 0.4920733571052551, adv_loss: 0, dis loss: 0
2022-07-12 02:15:37,908 - utils - INFO - epoch: 0, step: 350, eta: 00:21:59, gen loss: 0.4520144462585449, adv_loss: 0, dis loss: 0
2022-07-12 02:16:49,456 - utils - INFO - epoch: 0, step: 400, eta: 00:20:46, gen loss: 0.4571898579597473, adv_loss: 0, dis loss: 0
2022-07-12 02:18:22,615 - utils - INFO - epoch: 0, step: 450, eta: 00:20:13, gen loss: 0.40088289976119995, adv_loss: 0, dis loss: 0
2022-07-12 02:20:14,687 - utils - INFO - epoch: 0, step: 500, eta: 00:19:57, gen loss: 0.409240186214447, adv_loss: 0, dis loss: 0
2022-07-12 02:22:28,840 - utils - INFO - epoch: 0, step: 550, eta: 00:19:52, gen loss: 0.3809284269809723, adv_loss: 0, dis loss: 0
2022-07-12 02:24:14,404 - utils - INFO - epoch: 0, step: 600, eta: 00:18:54, gen loss: 0.3759094178676605, adv_loss: 0, dis loss: 0
2022-07-12 02:26:07,999 - utils - INFO - epoch: 0, step: 650, eta: 00:17:56, gen loss: 0.32804006338119507, adv_loss: 0, dis loss: 0
2022-07-12 02:27:19,567 - utils - INFO - epoch: 0, step: 700, eta: 00:16:16, gen loss: 0.33381104469299316, adv_loss: 0, dis loss: 0
2022-07-12 02:29:07,550 - utils - INFO - epoch: 0, step: 750, eta: 00:15:05, gen loss: 0.3707839846611023, adv_loss: 0, dis loss: 0
2022-07-12 02:31:13,272 - utils - INFO - epoch: 0, step: 800, eta: 00:14:00, gen loss: 0.3075159788131714, adv_loss: 0, dis loss: 0
2022-07-12 02:33:18,127 - utils - INFO - epoch: 0, step: 850, eta: 00:12:47, gen loss: 0.3113141655921936, adv_loss: 0, dis loss: 0
2022-07-12 02:35:26,936 - utils - INFO - epoch: 0, step: 900, eta: 00:11:30, gen loss: 0.2892870306968689, adv_loss: 0, dis loss: 0
2022-07-12 02:37:27,151 - utils - INFO - epoch: 0, step: 950, eta: 00:10:04, gen loss: 0.2751474976539612, adv_loss: 0, dis loss: 0
2022-07-12 02:39:20,639 - utils - INFO - epoch: 0, step: 1000, eta: 00:08:34, gen loss: 0.30546629428863525, adv_loss: 0, dis loss: 0
2022-07-12 02:41:06,320 - utils - INFO - epoch: 0, step: 1050, eta: 00:06:59, gen loss: 0.30823031067848206, adv_loss: 0, dis loss: 0
2022-07-12 02:42:57,616 - utils - INFO - epoch: 0, step: 1100, eta: 00:05:25, gen loss: 0.2979477643966675, adv_loss: 0, dis loss: 0
2022-07-12 02:44:10,305 - utils - INFO - epoch: 0, step: 1150, eta: 00:03:45, gen loss: 0.27868402004241943, adv_loss: 0, dis loss: 0
2022-07-12 02:45:23,626 - utils - INFO - epoch: 0, step: 1200, eta: 00:02:07, gen loss: 0.25978314876556396, adv_loss: 0, dis loss: 0
2022-07-12 02:46:35,662 - utils - INFO - epoch: 0, step: 1250, eta: 00:00:32, gen loss: 0.2814487814903259, adv_loss: 0, dis loss: 0
2022-07-12 03:04:53,750 - utils - INFO - epoch: 0, loss: 0.2512357532978058, mae: 46.412184369328614, ssim: 0.8635820372134493, psnr: 22.052610236453603
2022-07-12 03:04:55,938 - utils - INFO - epoch: 1, step: 0, eta: 00:34:08, gen loss: 0.25358137488365173, adv_loss: 0, dis loss: 0
2022-07-12 03:07:33,618 - utils - INFO - epoch: 1, step: 50, eta: 01:04:37, gen loss: 0.2602902054786682, adv_loss: 0, dis loss: 0
2022-07-12 03:10:02,992 - utils - INFO - epoch: 1, step: 100, eta: 01:00:02, gen loss: 0.27998942136764526, adv_loss: 0, dis loss: 0
2022-07-12 03:12:29,621 - utils - INFO - epoch: 1, step: 150, eta: 00:56:30, gen loss: 0.2654675841331482, adv_loss: 0, dis loss: 0
2022-07-12 03:14:33,080 - utils - INFO - epoch: 1, step: 200, eta: 00:51:27, gen loss: 0.23629944026470184, adv_loss: 0, dis loss: 0
2022-07-12 03:16:55,196 - utils - INFO - epoch: 1, step: 250, eta: 00:48:52, gen loss: 0.24568946659564972, adv_loss: 0, dis loss: 0
2022-07-12 03:19:13,896 - utils - INFO - epoch: 1, step: 300, eta: 00:46:10, gen loss: 0.24723467230796814, adv_loss: 0, dis loss: 0
2022-07-12 03:21:21,936 - utils - INFO - epoch: 1, step: 350, eta: 00:43:07, gen loss: 0.2421724796295166, adv_loss: 0, dis loss: 0
2022-07-12 03:23:32,950 - utils - INFO - epoch: 1, step: 400, eta: 00:40:24, gen loss: 0.24297276139259338, adv_loss: 0, dis loss: 0
2022-07-12 03:25:40,399 - utils - INFO - epoch: 1, step: 450, eta: 00:37:42, gen loss: 0.23175404965877533, adv_loss: 0, dis loss: 0
2022-07-12 03:27:49,068 - utils - INFO - epoch: 1, step: 500, eta: 00:35:08, gen loss: 0.220179945230484, adv_loss: 0, dis loss: 0
2022-07-12 03:29:43,224 - utils - INFO - epoch: 1, step: 550, eta: 00:32:20, gen loss: 0.2508595585823059, adv_loss: 0, dis loss: 0
2022-07-12 03:31:45,392 - utils - INFO - epoch: 1, step: 600, eta: 00:29:50, gen loss: 0.23701715469360352, adv_loss: 0, dis loss: 0
2022-07-12 03:33:35,322 - utils - INFO - epoch: 1, step: 650, eta: 00:27:13, gen loss: 0.21693478524684906, adv_loss: 0, dis loss: 0
2022-07-12 03:35:44,102 - utils - INFO - epoch: 1, step: 700, eta: 00:24:58, gen loss: 0.21332870423793793, adv_loss: 0, dis loss: 0
2022-07-12 03:37:53,184 - utils - INFO - epoch: 1, step: 750, eta: 00:22:44, gen loss: 0.23079365491867065, adv_loss: 0, dis loss: 0
2022-07-12 03:39:41,591 - utils - INFO - epoch: 1, step: 800, eta: 00:20:18, gen loss: 0.2269231081008911, adv_loss: 0, dis loss: 0
2022-07-12 03:40:55,635 - utils - INFO - epoch: 1, step: 850, eta: 00:17:40, gen loss: 0.2334352731704712, adv_loss: 0, dis loss: 0
2022-07-12 03:42:08,895 - utils - INFO - epoch: 1, step: 900, eta: 00:15:11, gen loss: 0.19925200939178467, adv_loss: 0, dis loss: 0
2022-07-12 03:43:24,615 - utils - INFO - epoch: 1, step: 950, eta: 00:12:50, gen loss: 0.22007036209106445, adv_loss: 0, dis loss: 0
2022-07-12 03:44:37,878 - utils - INFO - epoch: 1, step: 1000, eta: 00:10:36, gen loss: 0.2148328721523285, adv_loss: 0, dis loss: 0
