2022-07-17 03:52:32,913 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_depth=12, depth=6, device_ids='1', epochs=30, flag='mae_v2', hole_weight=6.0, lr=5e-05, model_save_path='./saved_models/mae_v2', num_workers=4, output_dir='./output/logs', phase='train', prefetch=6, schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=False, use_pconv=False, use_random_mask=True, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-17 03:52:47,804 - utils - INFO - epoch: 0, step: 0, eta: 03:20:42, gen loss: 50.99518585205078, adv_loss: 0, dis loss: 0
2022-07-17 03:53:40,519 - utils - INFO - epoch: 0, step: 100, eta: 00:23:18, gen loss: 12.102994918823242, adv_loss: 0, dis loss: 0
2022-07-17 03:54:33,180 - utils - INFO - epoch: 0, step: 200, eta: 00:21:24, gen loss: 9.764862060546875, adv_loss: 0, dis loss: 0
2022-07-17 03:55:26,004 - utils - INFO - epoch: 0, step: 300, eta: 00:20:12, gen loss: 7.360302448272705, adv_loss: 0, dis loss: 0
2022-07-17 03:56:18,959 - utils - INFO - epoch: 0, step: 400, eta: 00:19:11, gen loss: 6.061124801635742, adv_loss: 0, dis loss: 0
2022-07-17 03:57:11,970 - utils - INFO - epoch: 0, step: 500, eta: 00:18:13, gen loss: 6.526772975921631, adv_loss: 0, dis loss: 0
2022-07-17 03:58:05,031 - utils - INFO - epoch: 0, step: 600, eta: 00:17:17, gen loss: 4.980607032775879, adv_loss: 0, dis loss: 0
2022-07-17 03:58:58,077 - utils - INFO - epoch: 0, step: 700, eta: 00:16:22, gen loss: 4.996395587921143, adv_loss: 0, dis loss: 0
2022-07-17 03:59:51,219 - utils - INFO - epoch: 0, step: 800, eta: 00:15:27, gen loss: 4.123765468597412, adv_loss: 0, dis loss: 0
2022-07-17 04:00:44,323 - utils - INFO - epoch: 0, step: 900, eta: 00:14:33, gen loss: 4.173008918762207, adv_loss: 0, dis loss: 0
2022-07-17 04:01:37,427 - utils - INFO - epoch: 0, step: 1000, eta: 00:13:39, gen loss: 3.8547329902648926, adv_loss: 0, dis loss: 0
2022-07-17 04:02:30,480 - utils - INFO - epoch: 0, step: 1100, eta: 00:12:45, gen loss: 3.98427677154541, adv_loss: 0, dis loss: 0
2022-07-17 04:03:23,530 - utils - INFO - epoch: 0, step: 1200, eta: 00:11:51, gen loss: 4.320570468902588, adv_loss: 0, dis loss: 0
2022-07-17 04:04:16,419 - utils - INFO - epoch: 0, step: 1300, eta: 00:10:57, gen loss: 3.5590033531188965, adv_loss: 0, dis loss: 0
2022-07-17 04:05:09,188 - utils - INFO - epoch: 0, step: 1400, eta: 00:10:03, gen loss: 3.5558669567108154, adv_loss: 0, dis loss: 0
2022-07-17 04:06:01,967 - utils - INFO - epoch: 0, step: 1500, eta: 00:09:10, gen loss: 4.239654541015625, adv_loss: 0, dis loss: 0
2022-07-17 04:06:54,779 - utils - INFO - epoch: 0, step: 1600, eta: 00:08:16, gen loss: 3.657996654510498, adv_loss: 0, dis loss: 0
2022-07-17 04:07:47,610 - utils - INFO - epoch: 0, step: 1700, eta: 00:07:23, gen loss: 3.7104389667510986, adv_loss: 0, dis loss: 0
2022-07-17 04:08:40,413 - utils - INFO - epoch: 0, step: 1800, eta: 00:06:29, gen loss: 3.6083037853240967, adv_loss: 0, dis loss: 0
2022-07-17 04:09:33,226 - utils - INFO - epoch: 0, step: 1900, eta: 00:05:36, gen loss: 3.463162899017334, adv_loss: 0, dis loss: 0
